dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.1,GHCP no within,20,0.9,0.91,0.28632495871296654,0.009049861877399012,1000.0,26.17039344627201,6.245248284576107,0.19749209132519915,25.673022193529413,21.735451416749342,29.991100437839155,10.532412244245585,51.061835643841135,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,25,0.9,0.924,0.2651307117146075,0.008379976133617564,1000.0,15.487839515395363,9.060777702700822,0.2865269491300258,13.502379163382372,8.36186907450452,20.269506646114703,2.8696051356164185,54.29694430248652,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,30,0.9,0.91,0.28632495871296654,0.009049861877399012,1000.0,15.071971864522409,8.996787457915923,0.2845033999145059,13.058868206633266,8.035823642063477,19.847413696653476,2.662476355871815,54.8606425097654,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,35,0.9,0.925,0.26352313834736496,0.00832916562447884,1000.0,15.324296449514863,9.003294714293594,0.28470917742922686,13.339292771869726,8.284704252861133,19.990023449906236,2.662476355871815,54.8606425097654,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,0,0.9,0.935,0.24664921616708177,0.0077958322198467015,1000.0,33.45213372021254,8.226360342611395,0.2601403553593511,32.52293860299008,27.458920186374975,38.58941962445731,14.184877943210008,69.61975698322073,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,5,0.9,0.935,0.24664921616708177,0.0077958322198467015,1000.0,33.45213372021254,8.226360342611395,0.2601403553593511,32.52293860299008,27.458920186374975,38.58941962445731,14.184877943210008,69.61975698322073,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,10,0.9,0.935,0.24664921616708177,0.0077958322198467015,1000.0,33.45213372021254,8.226360342611395,0.2601403553593511,32.52293860299008,27.458920186374975,38.58941962445731,14.184877943210008,69.61975698322073,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,15,0.9,0.935,0.24664921616708177,0.0077958322198467015,1000.0,33.45213372021254,8.226360342611395,0.2601403553593511,32.52293860299008,27.458920186374975,38.58941962445731,14.184877943210008,69.61975698322073,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,20,0.9,0.935,0.24664921616708177,0.0077958322198467015,1000.0,33.45213372021254,8.226360342611395,0.2601403553593511,32.52293860299008,27.458920186374975,38.58941962445731,14.184877943210008,69.61975698322073,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,25,0.9,0.935,0.24664921616708177,0.0077958322198467015,1000.0,33.45213372021254,8.226360342611395,0.2601403553593511,32.52293860299008,27.458920186374975,38.58941962445731,14.184877943210008,69.61975698322073,1000.0,1000.0,0.0,1.0,0.0
