dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
poissonNmean21,0.075,0.925,0,3,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,10,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,7,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,2,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,11,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,5,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,16,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,12,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,15,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,13,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,14,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,8,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,19,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,17,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,22,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,18,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,21,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,20,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,23,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,3,9.060577455473394,9.362222582871203e-16,0.0,1.0332920422434653e-16,1.0,10,50,456
poissonNmean21,0.075,0.925,5,6,11.184728521685507,0.0,0.0,0.0,1.0,3,50,456
poissonNmean21,0.075,0.925,5,0,10.504482366673384,0.29881285246861866,0.5740633452215098,0.028446223434734397,1.0,41,50,456
poissonNmean21,0.075,0.925,5,2,10.458150828496345,0.33508995944676273,0.7448575211739832,0.032041033347282616,1.0,37,50,456
poissonNmean21,0.075,0.925,5,4,11.46680140547278,0.5157287195608011,1.3334288510803531,0.04497581333489027,1.0,37,50,456
poissonNmean21,0.075,0.925,5,1,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,5,8.652515045400648,0.4724700771082426,0.3545213869878343,0.05460494141057749,1.0,50,50,456
poissonNmean21,0.075,0.925,5,7,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,24,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,8,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,12,9.737000459855603,0.3553288743500844,0.34401760388427854,0.03649264224799614,1.0,10,50,456
poissonNmean21,0.075,0.925,5,10,8.914253314927388,0.11434433660809235,0.12378747618497074,0.012827135663355754,1.0,34,50,456
poissonNmean21,0.075,0.925,5,13,11.330043495935728,0.07947153438143899,1.1313946205547045,0.007014230299287618,1.0,13,50,456
poissonNmean21,0.075,0.925,5,11,8.79367115656096,0.20146124502163143,0.32335957951940264,0.022909799722419816,1.0,29,50,456
poissonNmean21,0.075,0.925,5,14,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,9,14.87872207951879,0.15811735911752697,0.6269102787643,0.010627079279556032,1.0,21,50,456
poissonNmean21,0.075,0.925,5,21,8.95924943467054,3.837369354665453e-15,0.0,4.283137089381155e-16,1.0,7,50,456
poissonNmean21,0.075,0.925,5,15,8.10352012518663,0.7926191597084791,0.45214371653478463,0.0978117099067764,0.92,32,50,456
poissonNmean21,0.075,0.925,5,17,12.617296774829498,0.0,0.0,0.0,1.0,8,50,456
poissonNmean21,0.075,0.925,5,22,8.581712062841355,0.0,0.0,0.0,1.0,3,50,456
poissonNmean21,0.075,0.925,5,16,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,19,9.841590923800757,0.9702434609580877,1.3198083837415728,0.09858603842308314,1.0,28,50,456
poissonNmean21,0.075,0.925,5,23,9.714296213599077,0.0,0.0,0.0,1.0,1,50,456
poissonNmean21,0.075,0.925,5,20,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,5,18,13.552018202450027,0.927239548055188,2.22905575886263,0.06842077203582529,1.0,27,50,456
poissonNmean21,0.075,0.925,10,3,7.6489182546463,1.4340209236487051,1.3947869216326192,0.18748022608002327,1.0,50,50,456
poissonNmean21,0.075,0.925,5,24,12.01339288803996,0.0,0.0,0.0,1.0,8,50,456
poissonNmean21,0.075,0.925,10,1,7.309888013934728,0.5519477206103051,0.9511064523641368,0.07550700086761049,0.92,50,50,456
poissonNmean21,0.075,0.925,10,4,6.8591712520439865,0.22906217322979788,0.3672794984362337,0.03339502176178192,1.0,50,50,456
poissonNmean21,0.075,0.925,10,0,8.097841335093557,0.28322760825929344,0.5161405660167063,0.03497569247644702,1.0,50,50,456
poissonNmean21,0.075,0.925,10,5,8.254907915326587,0.6319486408815934,1.2945416473758253,0.07655429319911339,1.0,50,50,456
poissonNmean21,0.075,0.925,10,12,7.30394189781982,0.0608551348752554,0.13193739008947647,0.00833182077932743,1.0,50,50,456
poissonNmean21,0.075,0.925,10,2,7.325434805635115,0.09658489281121886,0.22659915572265388,0.013184868253406694,1.0,50,50,456
poissonNmean21,0.075,0.925,10,6,7.588236043246024,0.2926815435090184,0.3936269145946138,0.03857043215854127,1.0,50,50,456
poissonNmean21,0.075,0.925,10,7,8.850472769428459,0.32245922635189833,0.48144966708429,0.0364341244532999,1.0,50,50,456
poissonNmean21,0.075,0.925,10,10,7.091110582313578,0.3005412478358871,0.2176466829064294,0.042382817803672035,1.0,50,50,456
poissonNmean21,0.075,0.925,10,9,5.404769643008086,0.28102829161502324,0.37733171866545023,0.05199634955369046,1.0,50,50,456
poissonNmean21,0.075,0.925,10,11,7.279050142469783,0.42042688124801353,0.5672021921915517,0.057758481260490754,1.0,50,50,456
poissonNmean21,0.075,0.925,10,8,7.206810533249785,0.6058379095795684,0.904014966701736,0.0840646367466492,1.0,50,50,456
poissonNmean21,0.075,0.925,10,13,8.532095836572173,0.5708449433106549,0.9717386739207323,0.06690559438675922,1.0,50,50,456
poissonNmean21,0.075,0.925,10,14,6.926656163262009,0.31422579624320923,0.5918528485479628,0.04536471694810229,0.72,50,50,456
poissonNmean21,0.075,0.925,10,17,7.870859333156745,0.2504896116932835,0.4602684330882022,0.031824938178995545,1.0,50,50,456
poissonNmean21,0.075,0.925,10,18,7.672996714500732,0.7253063658667871,1.480471318192591,0.09452713103552808,1.0,50,50,456
