tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.05,10,S-HCP-within,0.9468,0.22445452984333691,30.70912200387973,28.889267773564,10.118809414894738,0.0,0,12345
5.0,0.05,10,Std-CP,0.839,0.3675677096865836,53.447644345580876,12.394182286964632,430.7587299929476,0.0,0,12345
5.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Donor-HCP-no-within,0.9626,0.18975890410818022,31.096071949360457,29.37143960441196,9.573586226501796,0.0,0,12345
5.0,0.05,15,Donor-HCP-within,0.9752,0.15553069780461956,20.579705835368607,19.284044262756623,5.879718626185242,0.045,225,12345
5.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Pooling,0.9076,0.28961874214760464,31.432470604846706,28.863777653516756,12.3121081217475,0.0,0,12345
5.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,S-HCP-within,0.9532,0.2112313512164976,31.235283225531013,29.61461910013319,10.148031823831449,0.0,0,12345
5.0,0.05,15,Std-CP,0.8876,0.3158895332856856,9.092364362052042,7.5060919017674435,6.56258393679971,0.0,0,12345
5.0,0.05,15,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Donor-HCP-no-within,0.9602,0.19550857966069984,30.17109669448404,29.493789066012216,9.222139269698902,0.0202,101,12345
5.0,0.05,20,Donor-HCP-within,0.9696,0.1717024645928804,16.722864789599683,15.92730688921992,4.972793121249995,0.0742,371,12345
5.0,0.05,20,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Pooling,0.9076,0.28961874214760464,31.432470604846706,28.863777653516756,12.3121081217475,0.0,0,12345
5.0,0.05,20,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,S-HCP-within,0.948,0.22204923141554553,30.11879577861409,28.95592156911665,8.571693126389993,0.0,0,12345
5.0,0.05,20,Std-CP,0.9104,0.2856364080986985,6.92859402140009,6.358465297028237,3.003608701424341,0.0,0,12345
5.0,0.05,20,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Donor-HCP-no-within,0.9694,0.17224858174969931,21.900352243532847,20.690249055451154,8.532795726253507,0.2744,1372,12345
5.0,0.05,25,Donor-HCP-within,0.9794,0.14205518623122146,9.161743680800294,9.006058107308547,2.362466352095951,0.5268,2634,12345
5.0,0.05,25,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Pooling,0.9076,0.28961874214760464,31.432470604846706,28.863777653516756,12.3121081217475,0.0,0,12345
5.0,0.05,25,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,S-HCP-within,0.9424,0.23300879515529851,21.499107027152352,20.52004869536055,8.173911190684027,0.0,0,12345
5.0,0.05,25,Std-CP,0.9334,0.24935291330777556,6.748139217794468,6.348215133814314,2.447206104193973,0.0,0,12345
5.0,0.05,25,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Donor-HCP-no-within,0.9738,0.15974562195173467,16.72178418864754,15.281469540522657,7.668744693357032,0.2904,1452,12345
5.0,0.05,30,Donor-HCP-within,0.999,0.03161012242886751,6.842400664376409,6.902856706425478,1.9219380250612346,0.9702,4851,12345
5.0,0.05,30,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Pooling,0.9076,0.28961874214760464,31.432470604846706,28.863777653516756,12.3121081217475,0.0,0,12345
5.0,0.05,30,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,S-HCP-within,0.979,0.14339844009794692,20.70631509361542,18.614658080401103,9.168019959820304,0.44,2200,12345
5.0,0.05,30,Std-CP,0.938,0.24117967063313045,6.443465163988632,6.143745947941048,2.1778216353505306,0.0,0,12345
5.0,0.05,30,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Donor-HCP-no-within,0.9692,0.17279274135881204,16.800371935113734,15.468407587770574,7.63998734059818,0.0,0,12345
5.0,0.05,35,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Pooling,0.9076,0.28961874214760464,31.432470604846706,28.863777653516756,12.3121081217475,0.0,0,12345
5.0,0.05,35,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,S-HCP-within,1.0,0.0,29.174846505128336,29.837099554913763,1.4681626495390867,0.98,4900,12345
5.0,0.05,35,Std-CP,0.9526,0.2125141700087096,6.486799475212752,6.221386996123887,2.034885094002747,0.0,0,12345
5.0,0.05,35,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Donor-HCP-no-within,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,0,Donor-HCP-within,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,0,HCP,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,0,Pooling,0.8696,0.33677666739954054,26.8467280195452,24.41283494318779,9.014965819837276,0.0,0,12345
5.0,0.1,0,Repeated,0.9044,0.29407131037746165,29.930436017907237,27.312150438654633,9.688834930510106,0.0,0,12345
5.0,0.1,0,S-HCP-within,0.9204,0.27070001052667086,34.527049299146725,32.459580852096416,12.777843908394534,0.0,0,12345
5.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Subsampling,0.8976,0.30320393553729613,29.98113485817552,27.54851269303948,10.340327969631554,0.0,0,12345
5.0,0.1,5,Donor-HCP-no-within,0.937,0.24298726008108393,34.05846797600401,31.321873608967643,11.984103209174863,0.0,0,12345
5.0,0.1,5,Donor-HCP-within,0.9532,0.21123135121649753,29.67384137839555,27.37800983547342,9.930981103126092,0.0,0,12345
5.0,0.1,5,HCP,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,5,Pooling,0.8696,0.33677666739954054,26.8467280195452,24.41283494318779,9.014965819837276,0.0,0,12345
5.0,0.1,5,Repeated,0.9044,0.29407131037746165,29.930436017907237,27.312150438654633,9.688834930510106,0.0,0,12345
5.0,0.1,5,S-HCP-within,0.9202,0.27101042291739635,32.629325342545364,30.19790942582324,12.025653090640615,0.0,0,12345
5.0,0.1,5,Std-CP,0.7498,0.43317142968748507,6.2628874690117495,5.147816328156631,4.871604917269007,0.0,0,12345
5.0,0.1,5,Subsampling,0.8976,0.30320393553729613,29.98113485817552,27.54851269303948,10.340327969631554,0.0,0,12345
5.0,0.1,10,Donor-HCP-no-within,0.93,0.2551725349729491,31.950870833400188,29.21824789031411,11.59714503979491,0.0,0,12345
5.0,0.1,10,Donor-HCP-within,0.9392,0.23898699327911402,22.77104778687943,20.916532186884393,7.777209860260892,0.0,0,12345
5.0,0.1,10,HCP,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,10,Pooling,0.8696,0.33677666739954054,26.8467280195452,24.41283494318779,9.014965819837276,0.0,0,12345
5.0,0.1,10,Repeated,0.9044,0.29407131037746165,29.930436017907237,27.312150438654633,9.688834930510106,0.0,0,12345
5.0,0.1,10,S-HCP-within,0.923,0.2666181108691012,32.93086066919026,30.151707734598602,12.687363937564383,0.0,0,12345
5.0,0.1,10,Std-CP,0.8268,0.37845793171925507,66.61370391025288,12.267953458230402,634.1020818506245,0.0,0,12345
5.0,0.1,10,Subsampling,0.8976,0.30320393553729613,29.98113485817552,27.54851269303948,10.340327969631554,0.0,0,12345
5.0,0.1,15,Donor-HCP-no-within,0.9074,0.2899000662464254,29.462452492180066,26.786906182623888,12.31488142285276,0.0,0,12345
5.0,0.1,15,Donor-HCP-within,0.9136,0.28098190362732156,18.394669774017203,16.87617459840179,7.450074564343159,0.0,0,12345
5.0,0.1,15,HCP,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,15,Pooling,0.8696,0.33677666739954054,26.8467280195452,24.41283494318779,9.014965819837276,0.0,0,12345
5.0,0.1,15,Repeated,0.9044,0.29407131037746165,29.930436017907237,27.312150438654633,9.688834930510106,0.0,0,12345
5.0,0.1,15,S-HCP-within,0.8982,0.3024153617298595,30.862534148075163,27.629315392199032,13.901275527017656,0.0,0,12345
5.0,0.1,15,Std-CP,0.8818,0.32287708175400853,9.14045111417562,7.5869024930653834,6.115818774167737,0.0,0,12345
5.0,0.1,15,Subsampling,0.8976,0.30320393553729613,29.98113485817552,27.54851269303948,10.340327969631554,0.0,0,12345
5.0,0.1,20,Donor-HCP-no-within,0.909,0.2876378749563792,26.61655116792675,24.98170978991418,8.843066083829669,0.0,0,12345
5.0,0.1,20,Donor-HCP-within,0.918,0.27439216135240163,14.090531032890658,13.428970233841945,4.309030259837209,0.0,0,12345
5.0,0.1,20,HCP,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,20,Pooling,0.8696,0.33677666739954054,26.8467280195452,24.41283494318779,9.014965819837276,0.0,0,12345
5.0,0.1,20,Repeated,0.9044,0.29407131037746165,29.930436017907237,27.312150438654633,9.688834930510106,0.0,0,12345
5.0,0.1,20,S-HCP-within,0.8986,0.30188783886312903,26.55566255172162,24.46478834957278,8.202625238702865,0.0,0,12345
5.0,0.1,20,Std-CP,0.9092,0.2873532223151063,6.929652209849631,6.371948114509964,2.9351621055477124,0.0,0,12345
5.0,0.1,20,Subsampling,0.8976,0.30320393553729613,29.98113485817552,27.54851269303948,10.340327969631554,0.0,0,12345
5.0,0.1,25,Donor-HCP-no-within,0.921,0.26976574043221696,20.03215945474539,19.492498957247292,7.941776297199184,0.04,200,12345
5.0,0.1,25,Donor-HCP-within,0.941,0.23564826759644156,7.600662939197533,7.1000405411133105,2.4222274090813154,0.1492,746,12345
5.0,0.1,25,HCP,0.9392,0.2389869932791143,33.9300824788325,31.75319472781841,10.009759825684815,0.0,0,12345
5.0,0.1,25,Pooling,0.8696,0.33677666739954054,26.8467280195452,24.41283494318779,9.014965819837276,0.0,0,12345
5.0,0.1,25,Repeated,0.9044,0.29407131037746165,29.930436017907237,27.312150438654633,9.688834930510106,0.0,0,12345
5.0,0.1,25,S-HCP-within,0.9172,0.27560724204994025,21.58496447785966,21.970704688401085,7.692393739424733,0.0,0,12345
5.0,0.1,25,Std-CP,0.9278,0.2588446640593982,6.76883995029289,6.41449126640712,2.4129189722995497,0.0,0,12345
