experiment,o_observed,coverage_none,coverage_constant,coverage_linear,coverage_stdcp,coverage_hcp,width_none,width_constant,width_linear,width_stdcp,width_hcp,infinite_none,infinite_constant,infinite_linear,infinite_stdcp,infinite_hcp
16,500,0.76,0.72,0.78,0.76,0.86,4.24380003939905,4.310153499125196,4.380351487002024,4.241410573570488,5.870000967454466,0,0,0,0,0
17,0,0.84,0.84,0.84,,0.84,5.228738307232071,5.228738307232071,5.228738307232071,,5.228738307232071,0,0,0,0,0
17,20,0.64,0.76,0.74,0.68,0.68,4.6504107643617285,5.241040748797451,5.838842575261867,6.463306672725309,5.228738307232071,0,0,0,0,0
17,50,0.84,0.76,0.78,0.9,0.88,4.214221042944368,4.323560991161463,4.753824581255498,5.2116674186936205,5.228738307232071,0,0,0,0,0
17,100,0.82,0.8,0.76,0.76,0.9,4.368541959698054,4.518818467552872,4.8169897466156275,4.762677244344378,5.228738307232071,0,0,0,0,0
17,200,0.82,0.86,0.78,0.84,0.84,4.219213168230813,4.314584768459192,4.391404561992882,4.38720360885552,5.228738307232071,0,0,0,0,0
17,300,0.84,0.88,0.84,0.84,0.92,4.138209440506267,4.1551783876542725,4.290944994625088,4.265192500697792,5.228738307232071,0,0,0,0,0
17,500,0.82,0.8,0.72,0.78,0.92,4.030710121457483,4.030616870361729,4.140787134468914,4.12916820468763,5.228738307232071,0,0,0,0,0
18,0,0.8,0.8,0.8,,0.8,5.254819934143685,5.254819934143685,5.254819934143685,,5.254819934143685,0,0,0,0,0
18,20,0.84,0.88,0.9,0.84,0.9,4.415224359221991,4.973956187443723,6.2543431435431796,6.665656141827396,5.254819934143685,0,0,0,0,0
18,50,0.88,0.82,0.86,0.82,0.88,4.273040234149452,4.550938023466868,4.717761207915245,4.94727912389005,5.254819934143685,0,0,0,0,0
18,100,0.82,0.84,0.78,0.92,0.92,4.192750685572481,4.297546279259569,4.456008694737008,4.529598907932863,5.254819934143685,0,0,0,0,0
18,200,0.8,0.74,0.76,0.78,0.88,4.146304761243842,4.179356061224539,4.285318985281398,4.247622247511146,5.254819934143685,0,0,0,0,0
18,300,0.86,0.86,0.78,0.8,0.9,4.254255557622079,4.284882341965272,4.280595678292687,4.245173699097769,5.254819934143685,0,0,0,0,0
18,500,0.92,0.92,0.92,0.92,0.96,4.223008114122897,4.167333448465239,4.160337698291206,4.213158925566653,5.254819934143685,0,0,0,0,0
19,0,0.9,0.9,0.9,,0.9,5.762233889051913,5.762233889051913,5.762233889051913,,5.762233889051913,0,0,0,0,0
19,20,0.88,0.94,0.88,0.84,0.92,5.015516345399481,5.851929004722956,6.52426058644679,7.176295503774362,5.762233889051913,0,0,0,0,0
19,50,0.96,0.96,0.86,0.92,0.96,4.40635518184912,4.682177303168388,4.843954243997774,5.152244074892205,5.762233889051913,0,0,0,0,0
19,100,0.74,0.74,0.78,0.76,0.92,4.035482873450493,4.361827801490406,4.362232669522172,4.19539128333924,5.762233889051913,0,0,0,0,0
19,200,0.9,0.9,0.92,0.9,0.94,4.178272064357503,4.202612044766706,4.431711354036073,4.332133452796057,5.762233889051913,0,0,0,0,0
19,300,0.72,0.7,0.72,0.7,0.88,4.109119972021449,4.182330411604905,4.240163768463141,4.148482366097816,5.762233889051913,0,0,0,0,0
19,500,0.78,0.78,0.82,0.82,0.9,4.042678273935396,4.1133708379029255,4.03662172000965,4.04864929076083,5.762233889051913,0,0,0,0,0
20,0,0.98,0.98,0.98,,0.98,5.91873845170692,5.91873845170692,5.91873845170692,,5.91873845170692,0,0,0,0,0
20,20,0.94,0.96,0.96,0.8,0.96,5.025145812094553,5.847298657462474,6.317377928776559,6.0505333127277865,5.91873845170692,0,0,0,0,0
20,50,0.76,0.7,0.7,0.78,0.84,4.244009234144288,4.369894336830219,4.587884267179135,4.737215321834798,5.91873845170692,0,0,0,0,0
20,100,0.78,0.82,0.8,0.82,0.9,4.155543772237901,4.266803390818692,4.301980270730838,4.200936312784153,5.91873845170692,0,0,0,0,0
20,200,0.8,0.8,0.84,0.8,0.92,4.092748879651332,4.157313911281583,4.133401278282887,4.250937701626811,5.91873845170692,0,0,0,0,0
20,300,0.88,0.88,0.86,0.88,0.98,4.227428861280984,4.271168254988032,4.229726595292352,4.224441205818651,5.91873845170692,0,0,0,0,0
20,500,0.78,0.78,0.76,0.76,0.86,4.149690069566821,4.122013014641974,4.13065555255695,4.121911456544899,5.91873845170692,0,0,0,0,0
