state_fips,age,cow,english,marital,educ,sex,hours,yoep,nativity,income,state_abb,entry_recency,age_sq,educ_level,married,female,y
37,34,1.0,1.0,5,21.0,1,48.0,2018.0,2,60000.0,NC,0.0,1156,BAplus,0,0,11.002116507732017
37,46,1.0,1.0,1,21.0,1,40.0,2018.0,2,60000.0,NC,0.0,2116,BAplus,1,0,11.002116507732017
37,41,1.0,2.0,1,24.0,1,60.0,2018.0,2,50000.0,NC,0.0,1681,BAplus,1,0,10.819798284210286
37,45,1.0,1.0,1,22.0,2,40.0,2018.0,2,73000.0,NC,0.0,2025,BAplus,1,1,11.19822841866684
37,34,3.0,1.0,1,21.0,2,40.0,2017.0,2,45000.0,NC,1.0,1156,BAplus,1,1,10.714439990727769
37,34,1.0,1.0,1,21.0,2,50.0,2017.0,2,110000.0,NC,1.0,1156,BAplus,1,1,11.608244735642321
37,31,1.0,1.0,5,17.0,1,40.0,2018.0,2,414200.0,NC,0.0,961,HS,0,0,12.934106642233319
37,34,1.0,2.0,1,21.0,1,52.0,2017.0,2,75000.0,NC,1.0,1156,BAplus,1,0,11.225256725762893
37,34,1.0,2.0,1,22.0,2,40.0,2017.0,2,70000.0,NC,1.0,1156,BAplus,1,1,11.156264806643742
37,25,1.0,1.0,5,16.0,1,40.0,2017.0,2,60000.0,NC,1.0,625,HS,0,0,11.002116507732017
37,25,1.0,1.0,5,21.0,1,45.0,2017.0,2,50000.0,NC,1.0,625,BAplus,0,0,10.819798284210286
38,27,1.0,4.0,5,19.0,1,40.0,2018.0,2,51000.0,ND,0.0,729,SomeCollege,0,0,10.839600519357369
39,33,1.0,3.0,1,16.0,1,40.0,2017.0,2,65000.0,OH,1.0,1089,HS,1,0,11.082157933374816
39,26,1.0,3.0,5,16.0,1,40.0,2017.0,2,60000.0,OH,1.0,676,HS,0,0,11.002116507732017
39,25,1.0,3.0,5,16.0,1,40.0,2017.0,2,60000.0,OH,1.0,625,HS,0,0,11.002116507732017
39,33,1.0,1.0,1,24.0,1,40.0,2017.0,2,61000.0,OH,1.0,1089,BAplus,1,0,11.0186455364637
39,33,2.0,1.0,5,22.0,1,45.0,2017.0,2,70000.0,OH,1.0,1089,BAplus,0,0,11.156264806643742
39,34,1.0,1.0,1,21.0,1,40.0,2017.0,2,66000.0,OH,1.0,1156,BAplus,1,0,11.097425172408931
39,46,1.0,3.0,1,13.0,1,40.0,2017.0,2,84000.0,OH,1.0,2116,<HS,1,0,11.338583982516495
39,31,1.0,2.0,5,22.0,1,50.0,2017.0,2,70000.0,OH,1.0,961,BAplus,0,0,11.156264806643742
39,33,1.0,1.0,1,21.0,2,40.0,2017.0,2,100100.0,OH,1.0,1089,BAplus,1,1,11.513934955263402
39,41,1.0,1.0,1,22.0,2,48.0,2017.0,2,150000.0,OH,1.0,1681,BAplus,1,1,11.918397239722838
39,41,1.0,1.0,1,21.0,1,40.0,2017.0,2,95000.0,OH,1.0,1681,BAplus,1,0,11.461642696843066
39,45,2.0,4.0,1,21.0,2,45.0,2018.0,2,80000.0,OH,0.0,2025,BAplus,1,1,11.289794413577894
39,38,1.0,1.0,1,21.0,1,40.0,2017.0,2,73000.0,OH,1.0,1444,BAplus,1,0,11.19822841866684
39,37,1.0,2.0,1,22.0,1,40.0,2017.0,2,65000.0,OH,1.0,1369,BAplus,1,0,11.082157933374816
39,33,1.0,1.0,5,22.0,2,40.0,2018.0,2,90000.0,OH,0.0,1089,BAplus,0,1,11.407576060361786
39,29,1.0,1.0,1,21.0,1,60.0,2017.0,2,60000.0,OH,1.0,841,BAplus,1,0,11.002116507732017
39,39,1.0,1.0,1,21.0,1,40.0,2017.0,2,73000.0,OH,1.0,1521,BAplus,1,0,11.19822841866684
39,29,1.0,1.0,1,22.0,2,40.0,2018.0,2,70000.0,OH,0.0,841,BAplus,1,1,11.156264806643742
39,28,1.0,1.0,5,21.0,2,40.0,2017.0,2,60000.0,OH,1.0,784,BAplus,0,1,11.002116507732017
39,32,2.0,1.0,1,23.0,2,65.0,2017.0,2,64000.0,OH,1.0,1024,BAplus,1,1,11.06665398721974
39,33,1.0,1.0,1,21.0,1,40.0,2017.0,2,120000.0,OH,1.0,1089,BAplus,1,0,11.695255355062795
40,34,1.0,3.0,1,16.0,1,48.0,2017.0,2,30000.0,OK,1.0,1156,HS,1,0,10.308985993422082
