experiment,o,alpha,coverage,width,method,dataset,nominal_coverage
20089,0,0.05,1,,D-HCP,fixedN21,0.95
20090,0,0.05,1,,D-HCP,fixedN21,0.95
20091,0,0.05,1,,D-HCP,fixedN21,0.95
20092,0,0.05,1,,D-HCP,fixedN21,0.95
20093,0,0.05,1,,D-HCP,fixedN21,0.95
20094,0,0.05,1,,D-HCP,fixedN21,0.95
20095,0,0.05,1,,D-HCP,fixedN21,0.95
20096,0,0.05,1,,D-HCP,fixedN21,0.95
20097,0,0.05,1,,D-HCP,fixedN21,0.95
20098,0,0.05,1,,D-HCP,fixedN21,0.95
20099,0,0.05,1,,D-HCP,fixedN21,0.95
30000,0,0.05,1,,D-HCP,fixedN21,0.95
30001,0,0.05,1,,D-HCP,fixedN21,0.95
30002,0,0.05,1,,D-HCP,fixedN21,0.95
30003,0,0.05,1,,D-HCP,fixedN21,0.95
30004,0,0.05,1,,D-HCP,fixedN21,0.95
30005,0,0.05,1,,D-HCP,fixedN21,0.95
30006,0,0.05,1,,D-HCP,fixedN21,0.95
30007,0,0.05,1,,D-HCP,fixedN21,0.95
30008,0,0.05,1,,D-HCP,fixedN21,0.95
30009,0,0.05,1,,D-HCP,fixedN21,0.95
30010,0,0.05,1,,D-HCP,fixedN21,0.95
30011,0,0.05,1,,D-HCP,fixedN21,0.95
30012,0,0.05,1,,D-HCP,fixedN21,0.95
30013,0,0.05,1,,D-HCP,fixedN21,0.95
30014,0,0.05,1,,D-HCP,fixedN21,0.95
30015,0,0.05,1,,D-HCP,fixedN21,0.95
30016,0,0.05,1,,D-HCP,fixedN21,0.95
30017,0,0.05,1,,D-HCP,fixedN21,0.95
30018,0,0.05,1,,D-HCP,fixedN21,0.95
30019,0,0.05,1,,D-HCP,fixedN21,0.95
30020,0,0.05,1,,D-HCP,fixedN21,0.95
30021,0,0.05,1,,D-HCP,fixedN21,0.95
30022,0,0.05,1,,D-HCP,fixedN21,0.95
30023,0,0.05,1,,D-HCP,fixedN21,0.95
30024,0,0.05,1,,D-HCP,fixedN21,0.95
30025,0,0.05,1,,D-HCP,fixedN21,0.95
30026,0,0.05,1,,D-HCP,fixedN21,0.95
30027,0,0.05,1,,D-HCP,fixedN21,0.95
30028,0,0.05,1,,D-HCP,fixedN21,0.95
30029,0,0.05,1,,D-HCP,fixedN21,0.95
30030,0,0.05,1,,D-HCP,fixedN21,0.95
30031,0,0.05,1,,D-HCP,fixedN21,0.95
30032,0,0.05,1,,D-HCP,fixedN21,0.95
30033,0,0.05,1,,D-HCP,fixedN21,0.95
30034,0,0.05,1,,D-HCP,fixedN21,0.95
30035,0,0.05,1,,D-HCP,fixedN21,0.95
30036,0,0.05,1,,D-HCP,fixedN21,0.95
30037,0,0.05,1,,D-HCP,fixedN21,0.95
30038,0,0.05,1,,D-HCP,fixedN21,0.95
30039,0,0.05,1,,D-HCP,fixedN21,0.95
30040,0,0.05,1,,D-HCP,fixedN21,0.95
30041,0,0.05,1,,D-HCP,fixedN21,0.95
30042,0,0.05,1,,D-HCP,fixedN21,0.95
30043,0,0.05,1,,D-HCP,fixedN21,0.95
30044,0,0.05,1,,D-HCP,fixedN21,0.95
