replicate,method,o,coverage,width,width_income
9,HCP,5,0.8,1.835,124485.134
9,HCP,10,0.7333,1.835,119953.3075
9,HCP,20,0.9,1.835,125531.1283
9,Pooling,0,0.8667,1.4721,100880.6481
9,Pooling,5,0.7,1.4721,95198.4295
9,Pooling,10,0.7,1.4721,91732.7726
9,Pooling,20,0.7667,1.4721,95998.3404
9,Subsampling,0,0.9333,2.3868,187827.8693
9,Subsampling,5,0.9667,2.3868,177248.2486
9,Subsampling,10,0.8333,2.3868,170795.6041
9,Subsampling,20,0.9333,2.3868,178737.5882
9,Repeated,0,0.9,2.2217,169807.7059
9,Repeated,5,0.9,2.2217,160243.0916
9,Repeated,10,0.8,2.2217,154409.5124
9,Repeated,20,0.9333,2.2217,161589.5444
9,Std-CP,0,1.0,,
9,Std-CP,5,0.7667,14.157,2.0718180775390864e+21
9,Std-CP,10,0.9,5.3043,398006935.2053
9,Std-CP,20,0.8,5.703,720069820.2281
10,donor-HCP-randomized,0,0.9333,2.1254,150214.7044
10,donor-HCP-randomized,5,0.8667,2.0697,149612.1146
10,donor-HCP-randomized,10,0.7667,1.9112,124368.3914
10,donor-HCP-randomized,20,0.7931,1.6562,110444.0084
10,donor-HCP-derandomized,0,1.0,3.2938,298838.4193
10,donor-HCP-derandomized,5,1.0,2.9192,252138.9349
10,donor-HCP-derandomized,10,0.9,2.8382,218859.7757
10,donor-HCP-derandomized,20,1.0,2.5999,203553.9059
10,sample-HCP-randomized,0,0.7333,1.8384,128145.9782
10,sample-HCP-randomized,5,0.8,1.8153,132115.9926
10,sample-HCP-randomized,10,0.7333,1.713,107906.4944
10,sample-HCP-randomized,20,0.7931,1.6466,110830.1519
10,sample-HCP-derandomized,0,1.0,2.979,251667.9018
10,sample-HCP-derandomized,5,0.9667,2.5972,210127.243
10,sample-HCP-derandomized,10,0.9,2.5464,185776.3143
10,sample-HCP-derandomized,20,1.0,2.5218,194339.8532
10,HCP,0,0.9333,2.1254,150214.7044
10,HCP,5,0.8667,2.1254,155116.5214
10,HCP,10,0.8333,2.1254,142910.8957
