experiment,o_observed,coverage_donor_none,coverage_donor_mean,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_mean,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_mean,infinite_donor_ols,infinite_stdcp,infinite_hcp
8,30,0.86,0.79,0.82,0.76,0.86,1.4748916318482561,2.1789621363059446,1.5133154614445896,1.7038834437439685,1.5776437503866338,0,0,0,0,0
8,40,0.81,0.85,0.83,0.85,0.85,1.4737765988804037,2.241427281399288,1.6471719043130544,1.5406051411300474,1.5776437503866338,0,0,0,0,0
8,50,0.81,0.72,0.77,0.79,0.85,1.426475438814815,2.3046839656280724,1.4664999560839589,1.53462930872205,1.5776437503866338,0,0,0,0,0
9,0,0.89,0.89,0.89,,0.89,1.8616306124285988,1.8616306124285988,1.8616306124285988,,1.8616306124285988,0,0,0,0,0
9,10,0.86,0.9,0.76,0.85,0.93,1.6802959809292757,1.6724721816359462,2.2808450743075364,6.062230702808788,1.8616306124285988,0,0,0,0,0
9,20,0.85,0.82,0.79,0.87,0.93,1.5415507003950855,1.6351706563912745,1.5065843750910037,1.862951999050576,1.8616306124285988,0,0,0,0,0
9,30,0.78,0.79,0.8,0.78,0.91,1.3819756380575177,2.308509964474772,1.5977801385726433,1.6530968974245361,1.8616306124285988,0,0,0,0,0
9,40,0.87,0.82,0.9,0.83,0.93,1.507687811957189,2.2900638220612715,1.6390009494233704,1.6443979978068402,1.8616306124285988,0,0,0,0,0
9,50,0.83,0.86,0.8,0.82,0.85,1.5226034943811158,2.2746506088405747,1.5822048234878552,1.5987550355899784,1.8616306124285988,0,0,0,0,0
10,0,0.93,0.93,0.93,,0.93,2.0197418963245113,2.0197418963245113,2.0197418963245113,,2.0197418963245113,0,0,0,0,0
10,10,0.86,0.92,0.84,0.83,0.92,1.7216893939539455,1.7448173464423673,2.926646555359497,4.3680251360456035,2.0197418963245113,0,0,0,0,0
10,20,0.87,0.83,0.87,0.77,0.95,1.6036590503700348,1.805237039390172,1.7380282268813638,2.0173134558393766,2.0197418963245113,0,0,0,0,0
10,30,0.78,0.78,0.8,0.8,0.92,1.5482953151089667,2.310942461671633,1.6624393047292843,1.7684646588876003,2.0197418963245113,0,0,0,0,0
10,40,0.78,0.81,0.75,0.8,0.92,1.2779143054341404,2.1849778577980663,1.3768305626253625,1.4141315923475692,2.0197418963245113,0,0,0,0,0
10,50,0.82,0.8,0.87,0.83,0.9,1.4778573820623337,2.3263833767352526,1.4906492259117479,1.5833826099514596,2.0197418963245113,0,0,0,0,0
11,0,0.88,0.88,0.88,,0.88,1.8168216537259072,1.8168216537259072,1.8168216537259072,,1.8168216537259072,0,0,0,0,0
11,10,0.81,0.84,0.94,0.82,0.82,1.7106962836302864,1.9640136852125576,7.930963969119283,5.277511101438127,1.8168216537259072,0,0,0,0,0
11,20,0.82,0.79,0.86,0.76,0.89,1.575633538455378,1.7312595782883802,1.7608467906323642,2.044984111995593,1.8168216537259072,0,0,0,0,0
11,30,0.83,0.85,0.83,0.83,0.91,1.5014394304467824,2.2071849900775353,1.6833753677286212,1.7030838559429973,1.8168216537259072,0,0,0,0,0
11,40,0.79,0.83,0.78,0.8,0.89,1.4374500445261553,2.2609207094104393,1.5900446427241017,1.6729236983713203,1.8168216537259072,0,0,0,0,0
11,50,0.86,0.77,0.86,0.85,0.93,1.4420021624032975,2.33863989488508,1.6090802201402592,1.5295618237310045,1.8168216537259072,0,0,0,0,0
12,0,0.91,0.91,0.91,,0.91,1.7770073384729717,1.7770073384729717,1.7770073384729717,,1.7770073384729717,0,0,0,0,0
12,10,0.86,0.85,0.81,0.84,0.87,1.654750625615581,1.7001122891714648,2.1945307387465043,5.8136140019293805,1.7770073384729717,0,0,0,0,0
12,20,0.86,0.8,0.84,0.91,0.91,1.5110038211672019,1.6488457946629669,1.5801043197817553,1.916966914108956,1.7770073384729717,0,0,0,0,0
12,30,0.82,0.83,0.85,0.82,0.91,1.4326067497575456,2.3148021078184198,1.5828089472488092,1.6858707770743075,1.7770073384729717,0,0,0,0,0
12,40,0.84,0.85,0.84,0.88,0.9,1.4658055674413795,2.2823992838450047,1.680525974343698,1.660576362633935,1.7770073384729717,0,0,0,0,0
12,50,0.85,0.77,0.78,0.82,0.89,1.4126987454519686,2.281106039260515,1.4562450707470984,1.5092448788393544,1.7770073384729717,0,0,0,0,0
13,0,0.8,0.8,0.8,,0.8,1.842002834191919,1.842002834191919,1.842002834191919,,1.842002834191919,0,0,0,0,0
13,10,0.87,0.87,0.94,0.84,0.88,1.7534646512138274,1.7945893549159013,4.379489211712106,5.233739860023771,1.842002834191919,0,0,0,0,0
13,20,0.78,0.74,0.77,0.73,0.83,1.6077381377449962,1.7847733271874282,1.560484660875618,1.8548693495191033,1.842002834191919,0,0,0,0,0
13,30,0.83,0.84,0.82,0.75,0.8,1.4801591183869705,2.4337320711195325,1.7321673863821885,1.719530721594883,1.842002834191919,0,0,0,0,0
13,40,0.8,0.91,0.83,0.81,0.84,1.4588324734807645,2.2638066378844317,1.5704290226412274,1.592706270053071,1.842002834191919,0,0,0,0,0
13,50,0.73,0.85,0.74,0.76,0.83,1.3662200334588803,2.247736915307442,1.493154836478917,1.463972243442017,1.842002834191919,0,0,0,0,0
14,0,0.82,0.82,0.82,,0.82,1.7952996708619846,1.7952996708619846,1.7952996708619846,,1.7952996708619846,0,0,0,0,0
14,10,0.85,0.85,0.91,0.84,0.87,1.6369017844761915,1.8210345961218786,5.9945037698265065,4.670415160376606,1.7952996708619846,0,0,0,0,0
14,20,0.81,0.86,0.77,0.79,0.88,1.4974834668081758,1.9202484461659184,1.5031478313170152,1.9991195627444358,1.7952996708619846,0,0,0,0,0
14,30,0.81,0.82,0.83,0.74,0.91,1.5024841208908701,2.3781777417801,1.7419979746163667,1.6185098428508211,1.7952996708619846,0,0,0,0,0
14,40,0.78,0.75,0.76,0.73,0.85,1.4915667654407574,2.264984727805913,1.5355940180056173,1.5993453219419038,1.7952996708619846,0,0,0,0,0
14,50,0.8,0.86,0.81,0.71,0.91,1.429717251351199,2.2057882813966723,1.613491842722428,1.5066654005420508,1.7952996708619846,0,0,0,0,0
15,0,0.93,0.93,0.93,,0.93,1.8444185225780698,1.8444185225780698,1.8444185225780698,,1.8444185225780698,0,0,0,0,0
15,10,0.87,0.89,0.82,0.86,0.88,1.6610151831650048,1.8697720825161768,2.587514288836119,4.810165501911219,1.8444185225780698,0,0,0,0,0
15,20,0.84,0.79,0.81,0.81,0.9,1.5200333286829626,1.732475845725948,1.4525113072936207,2.043086262011877,1.8444185225780698,0,0,0,0,0
15,30,0.82,0.9,0.83,0.83,0.94,1.420000687611521,2.197862640855507,1.6356501483780301,1.6797825762507128,1.8444185225780698,0,0,0,0,0
15,40,0.77,0.78,0.8,0.82,0.87,1.4442003136048656,2.247464208909631,1.634822182679255,1.6424794518024934,1.8444185225780698,0,0,0,0,0
15,50,0.77,0.77,0.75,0.81,0.85,1.3887709527406944,2.2295447426452255,1.4354081590752783,1.5624712669028349,1.8444185225780698,0,0,0,0,0
16,0,0.91,0.91,0.91,,0.91,1.883390043065709,1.883390043065709,1.883390043065709,,1.883390043065709,0,0,0,0,0
16,10,0.88,0.9,0.93,0.85,0.89,1.6709002894052967,1.7836316109144152,6.4840746310115085,5.720554752404009,1.883390043065709,0,0,0,0,0
16,20,0.83,0.78,0.85,0.78,0.88,1.5227860350607845,1.4674278338222906,1.5806905536630849,1.9866717268027219,1.883390043065709,0,0,0,0,0
16,30,0.76,0.84,0.77,0.8,0.88,1.4718977338536052,2.289385008499491,1.5318087536722638,1.676373341107255,1.883390043065709,0,0,0,0,0
16,40,0.77,0.87,0.77,0.8,0.85,1.509609051286711,2.303945798471652,1.6158659702880211,1.5966958783394245,1.883390043065709,0,0,0,0,0
16,50,0.75,0.78,0.84,0.82,0.83,1.413397787457129,2.1837780961411837,1.4715431185246692,1.470918320984945,1.883390043065709,0,0,0,0,0
17,0,0.89,0.89,0.89,,0.89,1.9140393516003322,1.9140393516003322,1.9140393516003322,,1.9140393516003322,0,0,0,0,0
17,10,0.84,0.87,0.78,0.79,0.87,1.7284340313369908,1.8160148749271907,3.0041702323958592,5.767007657830307,1.9140393516003322,0,0,0,0,0
17,20,0.79,0.83,0.76,0.81,0.86,1.616247913008836,1.7583964558377878,1.610580209264469,2.032215774420541,1.9140393516003322,0,0,0,0,0
17,30,0.81,0.82,0.85,0.8,0.89,1.4316740463448652,2.2694026453848144,1.6291131054383077,1.6396047077994924,1.9140393516003322,0,0,0,0,0
17,40,0.78,0.74,0.8,0.76,0.87,1.4565725451015918,2.2582936297616403,1.5563815305512172,1.5992940672721083,1.9140393516003322,0,0,0,0,0
17,50,0.81,0.83,0.8,0.79,0.92,1.478442814839349,2.171161735477283,1.4865027088907654,1.500604564683874,1.9140393516003322,0,0,0,0,0
18,0,0.89,0.89,0.89,,0.89,1.709804184999436,1.709804184999436,1.709804184999436,,1.709804184999436,0,0,0,0,0
18,10,0.84,0.79,0.89,0.88,0.85,1.6031921042195179,1.6819503050239804,5.833292158171854,4.536009405096679,1.709804184999436,0,0,0,0,0
18,20,0.81,0.8,0.81,0.87,0.87,1.5136486553136832,1.7653085220137301,1.6907544220276656,1.94289409115212,1.709804184999436,0,0,0,0,0
18,30,0.89,0.85,0.87,0.79,0.9,1.5685975641228203,2.446719955987292,1.7298463188326672,1.761662683238558,1.709804184999436,0,0,0,0,0
18,40,0.72,0.77,0.81,0.84,0.82,1.5279892276316915,2.3435126642392063,1.6312968580306757,1.6588260959562868,1.709804184999436,0,0,0,0,0
18,50,0.76,0.86,0.77,0.79,0.87,1.4062136157685272,2.222963190023224,1.3853597354573939,1.4228482589038385,1.709804184999436,0,0,0,0,0
19,0,0.94,0.94,0.94,,0.94,1.9796738598626993,1.9796738598626993,1.9796738598626993,,1.9796738598626993,0,0,0,0,0
19,10,0.78,0.83,0.83,0.84,0.88,1.6095811692896211,1.8472264027516385,3.0233485191843057,4.8431761344896085,1.9796738598626993,0,0,0,0,0
19,20,0.82,0.77,0.81,0.86,0.95,1.4260378132326066,1.6106267619904264,1.5291937435009673,1.9001080353308388,1.9796738598626993,0,0,0,0,0
19,30,0.8,0.83,0.8,0.81,0.82,1.5341812985688987,2.3409566696957977,1.7934490482140926,1.7523055805711127,1.9796738598626993,0,0,0,0,0
19,40,0.8,0.8,0.79,0.78,0.91,1.516135189772718,2.3000825431371474,1.686967786329395,1.6619767623449975,1.9796738598626993,0,0,0,0,0
19,50,0.73,0.77,0.81,0.72,0.83,1.496769293763174,2.1726946482393816,1.5513078937562215,1.510833311485491,1.9796738598626993,0,0,0,0,0
20,0,0.81,0.81,0.81,,0.81,1.7703426051390139,1.7703426051390139,1.7703426051390139,,1.7703426051390139,0,0,0,0,0
20,10,0.74,0.79,0.91,0.81,0.78,1.6704636959716512,1.6988227904142261,2.9835999653987955,5.025089859052631,1.7703426051390139,0,0,0,0,0
20,20,0.71,0.74,0.73,0.79,0.81,1.5490395575243197,1.6274540035060747,1.589982684465689,2.163734406883362,1.7703426051390139,0,0,0,0,0
20,30,0.83,0.87,0.85,0.81,0.85,1.292565309986996,2.2686976092142137,1.4274975961858563,1.483027343099188,1.7703426051390139,0,0,0,0,0
20,40,0.85,0.86,0.82,0.81,0.88,1.438667430194949,2.1967739947534892,1.5356909031914725,1.5048570281891642,1.7703426051390139,0,0,0,0,0
20,50,0.87,0.87,0.88,0.86,0.88,1.4066199682867806,2.1942041291263354,1.41750367452384,1.4923825546834926,1.7703426051390139,0,0,0,0,0
21,0,0.85,0.85,0.85,,0.85,1.8871327177038004,1.8871327177038004,1.8871327177038004,,1.8871327177038004,0,0,0,0,0
21,10,0.81,0.81,0.69,0.8,0.84,1.7621275717189246,1.834819138840385,2.1084566062044168,5.146106855237386,1.8871327177038004,0,0,0,0,0
21,20,0.78,0.79,0.76,0.83,0.85,1.5590218622511527,1.6157522597447471,1.2932312806359891,1.9571241424193695,1.8871327177038004,0,0,0,0,0
21,30,0.82,0.84,0.77,0.76,0.83,1.436605992786511,2.372653676640364,1.6643573049700293,1.703887506888087,1.8871327177038004,0,0,0,0,0
21,40,0.78,0.84,0.82,0.82,0.83,1.5344915553144092,2.272652928142377,1.638172501042343,1.6488690450084391,1.8871327177038004,0,0,0,0,0
21,50,0.79,0.81,0.85,0.81,0.9,1.3780511235314776,2.2063946751990224,1.448167371300662,1.4512014005926133,1.8871327177038004,0,0,0,0,0
22,0,0.88,0.88,0.88,,0.88,1.5776194322056665,1.5776194322056665,1.5776194322056665,,1.5776194322056665,0,0,0,0,0
22,10,0.86,0.88,0.82,0.81,0.88,1.4566276692864188,1.5619841925185514,2.3694598759865073,4.420637916020507,1.5776194322056665,0,0,0,0,0
22,20,0.86,0.79,0.85,0.83,0.93,1.3673075667665984,1.4244165324611506,1.452911556677715,1.9657190423894728,1.5776194322056665,0,0,0,0,0
22,30,0.88,0.79,0.88,0.9,0.88,1.3768706178461259,2.3702462724425657,1.6438034911105772,1.7205471190850257,1.5776194322056665,0,0,0,0,0
22,40,0.87,0.82,0.83,0.84,0.89,1.3988781493618738,2.208482849464401,1.5482190224906016,1.526884265381759,1.5776194322056665,0,0,0,0,0
22,50,0.74,0.75,0.74,0.74,0.84,1.3854558640944503,2.2604241961156086,1.437554872469911,1.3908322050009696,1.5776194322056665,0,0,0,0,0
23,0,0.94,0.94,0.94,,0.94,1.8740530024287172,1.8740530024287172,1.8740530024287172,,1.8740530024287172,0,0,0,0,0
23,10,0.87,0.86,0.89,0.87,0.91,1.6037348323502636,1.7802883195147046,2.980764780154036,4.606010243166454,1.8740530024287172,0,0,0,0,0
23,20,0.84,0.82,0.85,0.85,0.93,1.453386018079819,1.8121126839040174,1.5897415265178938,1.8888535434826625,1.8740530024287172,0,0,0,0,0
23,30,0.81,0.76,0.8,0.8,0.88,1.4388961303380405,2.336934129750217,1.55729152324351,1.5456927782465462,1.8740530024287172,0,0,0,0,0
23,40,0.78,0.81,0.8,0.81,0.94,1.428608264062253,2.2573439268447464,1.590002082163532,1.5194748295442437,1.8740530024287172,0,0,0,0,0
