source_file,config,format,method,o_observed,coverage_mean,coverage_std,coverage_n,width_mean,width_std,width_n,infinite_rate_mean,infinite_rate_std,infinite_n
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,15,0.8016,0.04822281617657766,50,1.4635599760701918,0.11711427437589494,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,20,0.791,0.05139066063011838,50,1.4389386570454668,0.11653082102341975,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,25,0.7984,0.054492568300640774,50,1.4485319409182993,0.11677252616189793,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,30,0.7911999999999999,0.056129849456416685,50,1.4339379324400034,0.11854289532516604,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,35,0.7947999999999997,0.05478101861046398,50,1.4446453535831734,0.11921770520948538,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,40,0.7918000000000001,0.05501599767340405,50,1.433465337283113,0.11456763390481073,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,0,1.0,0.0,50,,,0,1.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,5,0.7454000000000001,0.03639835161102766,50,1.9364005227844776,0.14429239371119273,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,10,0.8224000000000001,0.045013775669232634,50,5.001636875087256,0.527894647975121,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,15,0.885,0.030935416596516056,50,3.0206426466204057,0.22076069588099229,50,0.0,0.0,50
