puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_<HS,prop_educ_SomeCollege,prop_educ_HS,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75
5903,46,38.02173913043478,8.83802172543854,43.95652173913044,8.988774534543083,7.173913043478261,5.313732096396142,1522.0652173913043,700.7527825980005,0.2826086956521739,0.8043478260869565,0.8260869565217391,,0.08695652173913043,0.08695652173913043,1.5217391304347827,-13941.81952000111,85749.91106852738,-52683.43723360069,-22621.322278372638,1952.378891949862
5904,112,39.5625,7.750363257978986,43.830357142857146,8.840822994645421,7.491071428571429,5.470635017102447,1624.7232142857142,613.1025987331639,0.35714285714285715,0.7767857142857143,0.8392857142857143,0.03571428571428571,0.08928571428571429,0.03571428571428571,1.5357142857142858,-10400.385922921147,49033.62939835642,-41759.46763798554,-14870.381315149396,20035.611014267888
5905,82,40.09756097560975,8.02251423921817,41.9390243902439,5.299307108156524,10.134146341463415,5.460887177780112,1671.3902439024391,637.3755943701525,0.43902439024390244,0.7804878048780488,0.5609756097560976,0.14634146341463414,0.14634146341463414,0.14634146341463414,1.7560975609756098,-14366.128903512848,40590.9425786722,-46111.13004276643,-9460.571850386012,14418.923460469552
5906,39,39.87179487179487,7.134716780346819,42.61538461538461,5.765666915436331,10.974358974358974,5.007821143430383,1639.3589743589744,574.8837634083079,0.4358974358974359,0.7692307692307693,0.5641025641025641,0.07692307692307693,0.20512820512820512,0.15384615384615385,1.7179487179487178,-13624.710473050507,44982.01923034749,-37359.88068618209,-18881.853411452175,6569.041539332422
5907,54,38.851851851851855,8.263142550375534,42.74074074074074,9.222992567154142,10.518518518518519,5.389510219427269,1576.4814814814815,664.0042833670873,0.46296296296296297,0.7222222222222222,0.5370370370370371,0.07407407407407407,0.25925925925925924,0.12962962962962962,1.8888888888888888,-19781.84488692121,40368.82956721276,-47171.97093289578,-15301.554725277412,3450.122517366268
5908,48,40.791666666666664,8.079283550850006,42.3125,4.016753478947681,12.333333333333334,4.343414351285214,1727.875,646.3231727371542,0.4583333333333333,0.6458333333333334,0.7083333333333334,0.0625,0.1875,0.041666666666666664,1.7916666666666667,-24980.97968391229,37334.695146387414,-51705.38988608726,-31115.56871459633,3776.224046933814
5909,60,37.96666666666667,7.843742332924427,42.36666666666667,6.886406818512575,11.6,5.253570214625479,1501.9666666666667,607.0123268696867,0.35,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.9833333333333334,-20746.265067705153,33238.9176430404,-44824.89195213491,-13367.575122967231,-2182.240291708331
5910,66,37.22727272727273,7.381464216943275,43.5,6.549809157525126,12.43939393939394,5.242221454773327,1439.530303030303,569.5425214002759,0.3484848484848485,0.6818181818181818,0.3787878787878788,0.21212121212121213,0.19696969696969696,0.21212121212121213,1.9545454545454546,-8448.225630533812,38318.01825455781,-31755.024053052257,-8070.14198847962,11145.046037465654
5911,25,37.16,6.459360133429111,40.64,1.6552945357246849,10.8,4.949747468305833,1420.92,502.01983028561733,0.6,0.68,0.48,0.24,0.08,0.2,1.68,-12834.568690820246,38400.77946373155,-37360.81870165453,-14219.0279872205,10689.33669741411
5912,73,38.19178082191781,7.995932184983144,43.06849315068493,5.4475498241648035,9.726027397260275,5.4038573516532376,1521.6712328767123,627.5689659930815,0.4657534246575342,0.6986301369863014,0.3835616438356164,0.2054794520547945,0.1643835616438356,0.2465753424657534,2.0684931506849313,-16379.304050876082,30780.51149920503,-31425.37194173108,-11184.708062780905,6144.7946073126805
