tau_B,experiment,o,method,coverage,width,n_infinite
5.0,4,35,Donor-HCP-within,0.87,2.7905347638312468,0
5.0,4,35,HCP,0.69,17.61796155663236,0
5.0,4,35,Pooling,0.65,15.77470052464388,0
5.0,4,35,Repeated,0.67,16.86236187569532,0
5.0,4,35,S-HCP-within,0.79,13.365021182719364,0
5.0,4,35,Std-CP,0.8,2.5782555115118497,0
5.0,4,35,Subsampling,0.68,17.156646919069964,0
5.0,5,0,Donor-HCP-no-within,0.84,28.023886413858193,0
5.0,5,0,Donor-HCP-within,0.84,28.023886413858193,0
5.0,5,0,HCP,0.84,28.023886413858193,0
5.0,5,0,Pooling,0.8,24.374949793415613,0
5.0,5,0,Repeated,0.83,27.36147629051579,0
5.0,5,0,S-HCP-within,0.84,20.71125123285719,0
5.0,5,0,Std-CP,1.0,,100
5.0,5,0,Subsampling,0.88,30.033243918052285,0
5.0,5,5,Donor-HCP-no-within,0.79,25.0187171245423,0
5.0,5,5,Donor-HCP-within,0.78,21.07470737130229,0
5.0,5,5,HCP,0.84,28.023886413858193,0
5.0,5,5,Pooling,0.8,24.374949793415613,0
5.0,5,5,Repeated,0.83,27.36147629051579,0
5.0,5,5,S-HCP-within,0.85,19.623991669000162,0
5.0,5,5,Std-CP,0.65,5.258565976939036,0
5.0,5,5,Subsampling,0.88,30.033243918052285,0
5.0,5,10,Donor-HCP-no-within,0.78,24.630378015923203,0
5.0,5,10,Donor-HCP-within,0.79,17.131085406988596,0
5.0,5,10,HCP,0.84,28.023886413858193,0
5.0,5,10,Pooling,0.8,24.374949793415613,0
5.0,5,10,Repeated,0.83,27.36147629051579,0
5.0,5,10,S-HCP-within,0.83,18.633506314277096,0
5.0,5,10,Std-CP,0.86,12.234396637359195,0
5.0,5,10,Subsampling,0.88,30.033243918052285,0
5.0,5,15,Donor-HCP-no-within,0.77,22.938024110545044,0
5.0,5,15,Donor-HCP-within,0.77,14.61618050502422,0
5.0,5,15,HCP,0.84,28.023886413858193,0
5.0,5,15,Pooling,0.8,24.374949793415613,0
5.0,5,15,Repeated,0.83,27.36147629051579,0
5.0,5,15,S-HCP-within,0.83,18.955100549777534,0
5.0,5,15,Std-CP,0.93,5.025318652157201,0
5.0,5,15,Subsampling,0.88,30.033243918052285,0
5.0,5,20,Donor-HCP-no-within,0.78,21.155590639371482,0
5.0,5,20,Donor-HCP-within,0.77,11.688485947327193,0
5.0,5,20,HCP,0.84,28.023886413858193,0
5.0,5,20,Pooling,0.8,24.374949793415613,0
5.0,5,20,Repeated,0.83,27.36147629051579,0
5.0,5,20,S-HCP-within,0.82,18.39728586360114,0
5.0,5,20,Std-CP,0.82,3.1083912159612423,0
5.0,5,20,Subsampling,0.88,30.033243918052285,0
5.0,5,25,Donor-HCP-no-within,0.79,11.283533070232716,0
5.0,5,25,Donor-HCP-within,0.85,3.2878707640771654,0
5.0,5,25,HCP,0.84,28.023886413858193,0
5.0,5,25,Pooling,0.8,24.374949793415613,0
5.0,5,25,Repeated,0.83,27.36147629051579,0
5.0,5,25,S-HCP-within,0.83,11.985066493266013,0
5.0,5,25,Std-CP,0.86,3.0361736386859697,0
5.0,5,25,Subsampling,0.88,30.033243918052285,0
5.0,5,30,Donor-HCP-no-within,0.8,11.312439592395402,0
5.0,5,30,Donor-HCP-within,0.81,2.6434797138932167,0
5.0,5,30,HCP,0.84,28.023886413858193,0
5.0,5,30,Pooling,0.8,24.374949793415613,0
5.0,5,30,Repeated,0.83,27.36147629051579,0
5.0,5,30,S-HCP-within,0.77,11.478027298961283,0
5.0,5,30,Std-CP,0.79,2.4193674089800705,0
5.0,5,30,Subsampling,0.88,30.033243918052285,0
5.0,5,35,Donor-HCP-no-within,0.78,11.264534880984066,0
5.0,5,35,Donor-HCP-within,0.84,2.6886098091785033,0
5.0,5,35,HCP,0.84,28.023886413858193,0
5.0,5,35,Pooling,0.8,24.374949793415613,0
5.0,5,35,Repeated,0.83,27.36147629051579,0
5.0,5,35,S-HCP-within,0.78,11.702097147230054,0
5.0,5,35,Std-CP,0.83,2.5411342588540857,0
5.0,5,35,Subsampling,0.88,30.033243918052285,0
5.0,6,0,Donor-HCP-no-within,0.81,23.40305354136336,0
5.0,6,0,Donor-HCP-within,0.81,23.40305354136336,0
5.0,6,0,HCP,0.81,23.40305354136336,0
5.0,6,0,Pooling,0.77,22.19334881422219,0
5.0,6,0,Repeated,0.81,23.515116087498395,0
5.0,6,0,S-HCP-within,0.56,14.172342066700319,0
5.0,6,0,Std-CP,1.0,,100
5.0,6,0,Subsampling,0.76,21.635326736877527,0
5.0,6,5,Donor-HCP-no-within,0.88,22.21628673381344,0
5.0,6,5,Donor-HCP-within,0.84,19.40027266486393,0
