experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
32,50,0.78,0.77,0.81,0.82,4.185226638947004,4.862650166287379,4.917102786161596,5.261559517923628,0,0,0,0
33,0,0.96,0.96,,0.96,6.576879570429805,6.576879570429805,,6.576879570429805,0,0,0,0
33,10,0.86,0.78,0.83,0.92,5.562554080604476,6.005265455531729,10.507676789509638,6.576879570429805,0,0,0,0
33,20,0.87,0.91,0.82,0.92,4.700502192808527,6.592002113569846,6.8931886137349805,6.576879570429805,0,0,0,0
33,30,0.8,0.84,0.8,0.93,4.559006288245448,5.890563080844312,5.763396720098436,6.576879570429805,0,0,0,0
33,40,0.84,0.83,0.91,0.93,4.241169765039338,4.950316165837407,5.445329880193558,6.576879570429805,0,0,0,0
33,50,0.79,0.76,0.75,0.95,4.2913184819225885,4.671443770257403,4.974402567653402,6.576879570429805,0,0,0,0
34,0,0.89,0.89,,0.89,6.141250535411365,6.141250535411365,,6.141250535411365,0,0,0,0
34,10,0.84,0.88,0.85,0.9,5.255633843332271,7.8005120078071055,10.560872200371698,6.141250535411365,0,0,0,0
34,20,0.73,0.82,0.79,0.83,4.643700809924999,5.713949857234303,6.806048158067404,6.141250535411365,0,0,0,0
34,30,0.8,0.81,0.83,0.89,4.317227648444604,5.516616709390515,5.326048772680494,6.141250535411365,0,0,0,0
34,40,0.78,0.81,0.72,0.88,4.119653626602879,4.913458634240865,5.07623812407405,6.141250535411365,0,0,0,0
34,50,0.87,0.87,0.81,0.93,4.378311489883849,4.871431515832125,5.159877243657213,6.141250535411365,0,0,0,0
35,0,0.93,0.93,,0.93,7.190974405239489,7.190974405239489,,7.190974405239489,0,0,0,0
35,10,0.82,0.85,0.82,0.88,6.382999869082509,7.023814533984906,10.458889406956946,7.190974405239489,0,0,0,0
35,20,0.86,0.81,0.79,0.92,5.7839391628307535,5.252045350767519,7.005552177400611,7.190974405239489,0,0,0,0
35,30,0.73,0.79,0.77,0.89,4.42879327121564,5.793255651297297,5.482422863786509,7.190974405239489,0,0,0,0
35,40,0.82,0.88,0.84,0.92,4.158728401038859,5.257423893292577,5.489964722833431,7.190974405239489,0,0,0,0
35,50,0.74,0.82,0.78,0.96,4.327745649299653,5.045842498225792,5.413274999444596,7.190974405239489,0,0,0,0
36,0,0.82,0.82,,0.82,5.296163938452034,5.296163938452034,,5.296163938452034,0,0,0,0
36,10,0.75,0.82,0.8,0.83,4.488537722115402,6.783914513028735,11.196667262636051,5.296163938452034,0,0,0,0
36,20,0.7,0.75,0.83,0.83,3.909458983447355,4.991203567100609,7.417789902808657,5.296163938452034,0,0,0,0
36,30,0.85,0.83,0.86,0.86,4.474935846757518,5.518451853090859,5.56971663614916,5.296163938452034,0,0,0,0
36,40,0.8,0.83,0.86,0.85,4.592347342474082,5.353762237648709,5.222287088582236,5.296163938452034,0,0,0,0
36,50,0.81,0.82,0.82,0.9,4.384393392464896,4.883325826043684,4.9744278485748605,5.296163938452034,0,0,0,0
37,0,0.88,0.88,,0.88,5.636275679230964,5.636275679230964,,5.636275679230964,0,0,0,0
