test_clinic,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_test_observed,n_test_total
13,25,6,Pooling,1,45.512878985387715,0,131.03644747335318,176.5493264587409,159.0,153.79288696604704,17,6,22
13,25,6,Subsampling,1,34.805481398942504,0,136.39014626657578,171.1956276655183,159.0,153.79288696604704,17,6,22
13,25,6,Repeated,1,56.70004081495061,0,125.44286655857174,182.14290737352235,159.0,153.79288696604704,17,6,22
13,50,11,HCP++,0,44.0268829335015,0,103.24041967866492,147.26730261216642,151.67,125.25386114541567,17,11,22
13,50,11,HCP.sample,1,47.3020274651369,0,114.41970180383227,161.72172926896917,151.67,125.25386114541567,17,11,22
13,50,11,HCP,1,56.858718070110285,0,110.90044969523885,167.75916776534913,151.67,139.329808730294,17,11,22
13,50,11,Pooling,1,45.512878985387715,0,116.57336923760013,162.08624822298785,151.67,139.329808730294,17,11,22
13,50,11,Subsampling,1,65.80128192988973,0,106.42916776534913,172.23044969523886,151.67,139.329808730294,17,11,22
13,50,11,Repeated,1,59.70424028400333,0,109.47768858829232,169.18192887229566,151.67,139.329808730294,17,11,22
13,75,16,HCP++,1,42.59740607187257,0,103.3145206491038,145.91192672097637,132.0,124.61322368504008,17,16,22
13,75,16,HCP.sample,1,44.59154712537888,0,103.48523186791148,148.07677899329036,132.0,124.61322368504008,17,16,22
13,75,16,HCP,1,56.858718070110285,0,102.1139370692571,158.9726551393674,132.0,130.54329610431225,17,16,22
