experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
5,40,0.8,0.84,0.76,0.87,0.75,0.82,0.73,0.81,0.77,1.5033998587950799,1.8239091593228522,1.408532152976222,1.8900656525889687,1.5285383891600994,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,40
6,0,0.92,1.0,0.83,1.0,1.0,0.92,0.86,0.58,0.88,1.836158482154958,3.4316786133945234,1.5590433856785881,2.997938280871766,inf,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,100,0,0,0,0,0
6,5,0.91,1.0,0.83,0.95,0.71,0.92,0.86,0.58,0.88,1.7894812026764293,3.017475134281154,1.5330926558284106,1.8943547642814837,2.2523573063553055,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,5
6,10,0.89,1.0,0.82,0.93,0.75,0.92,0.86,0.58,0.88,1.7667546146824238,2.705395219412948,1.4996501833451648,1.9140177881214657,5.483101497930049,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,10
6,15,0.89,0.99,0.81,0.93,0.9,0.92,0.86,0.58,0.88,1.7449285635093976,2.440057218108848,1.5128879752581341,1.8782414719583773,3.3991656435413002,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,15
6,20,0.88,0.97,0.81,0.93,0.74,0.92,0.86,0.58,0.88,1.7279247338046195,2.3238213861377375,1.4772808112820983,1.88528668570576,1.8765009136044677,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,20
6,25,0.88,0.96,0.82,0.93,0.88,0.92,0.86,0.58,0.88,1.6899927671876989,2.2838310422674803,1.5226664500960236,1.8743613772323564,2.016563074440806,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,25
6,30,0.88,0.95,0.82,0.93,0.78,0.92,0.86,0.58,0.88,1.6774655563803371,2.2102691541586106,1.5036553268684516,1.8782414719583773,1.7379473928751796,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,30
6,35,0.87,0.95,0.82,0.93,0.81,0.92,0.86,0.58,0.88,1.6412122952992472,2.157618803553713,1.4730187385349605,1.872533222998949,1.8624670523282698,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,35
6,40,0.86,0.95,0.81,0.93,0.81,0.92,0.86,0.58,0.88,1.554044870179764,2.1206402203314827,1.4820234285699296,1.8782414719583773,1.6523392349470765,1.836158482154958,1.57741609677033,0.9447770543412801,1.7245661800235736,0,0,0,0,0,0,0,0,0,40
7,0,0.81,0.96,0.85,0.99,1.0,0.81,0.7,0.8,0.79,1.890412754583985,3.1686703298900296,1.6817070990795409,3.2026399928942624,inf,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,100,0,0,0,0,0
7,5,0.81,0.95,0.85,0.93,0.72,0.81,0.7,0.8,0.79,1.8545794144340306,2.8907244589281618,1.6944738729656978,2.090811463790881,1.933775982290562,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,5
7,10,0.8,0.94,0.82,0.92,0.89,0.81,0.7,0.8,0.79,1.7863823012279425,2.803087277009774,1.575930778839957,2.11682939782032,5.080114756233581,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,10
7,15,0.79,0.94,0.82,0.92,0.86,0.81,0.7,0.8,0.79,1.7687329158072775,2.6881594749250324,1.6387755262590091,2.0725541799986917,2.7057446104819425,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,15
7,20,0.79,0.94,0.8,0.92,0.84,0.81,0.7,0.8,0.79,1.754301078541407,2.5043403914779723,1.5958488491359166,2.049162779844961,2.044950144547221,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,20
7,25,0.79,0.92,0.82,0.92,0.86,0.81,0.7,0.8,0.79,1.754301078541407,2.38237238740329,1.6104473766599057,2.0605546940924437,1.9393403685246917,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,25
7,30,0.79,0.89,0.81,0.92,0.78,0.81,0.7,0.8,0.79,1.7422762388163595,2.3375798234947727,1.5765299576388352,2.049162779844961,1.6951319211917182,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,30
7,35,0.77,0.86,0.83,0.92,0.84,0.81,0.7,0.8,0.79,1.674606016506556,2.268006842077041,1.6170086865897195,2.0548587369687024,1.8077035167576425,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,35
7,40,0.76,0.84,0.83,0.92,0.85,0.81,0.7,0.8,0.79,1.6657757265774866,2.1772353229583934,1.5971005534373297,2.049162779844961,1.5166204146447206,1.890412754583985,1.5042468429354354,1.7906520219879902,1.7302235593653177,0,0,0,0,0,0,0,0,0,40
8,0,0.87,0.99,0.78,0.98,1.0,0.87,0.75,0.72,0.81,1.816920783679511,2.986652105500541,1.637099504931592,3.224232215851561,inf,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,100,0,0,0,0,0
8,5,0.87,0.99,0.8,0.94,0.71,0.87,0.75,0.72,0.81,1.7875371404786504,2.8432452121614284,1.608925022516266,2.1295095697166886,1.8737655518981478,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,5
8,10,0.83,0.99,0.8,0.92,0.8,0.87,0.75,0.72,0.81,1.691675047675052,2.629644110820557,1.5843238996772429,2.057396990305336,4.7063313936765345,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,10
8,15,0.83,0.99,0.78,0.91,0.91,0.87,0.75,0.72,0.81,1.6734488218679662,2.4029636883174517,1.5658025380303087,2.0726682336817133,2.6504952625855585,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,15
8,20,0.83,0.98,0.8,0.91,0.8,0.87,0.75,0.72,0.81,1.6728418836818442,2.268970343540515,1.5608418511121775,2.057396990305336,1.8058911631207106,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,20
8,25,0.83,0.96,0.77,0.91,0.78,0.87,0.75,0.72,0.81,1.665083532289508,2.2283463401855794,1.577940717122765,2.045057475772875,1.8935343208137072,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,25
8,30,0.83,0.94,0.77,0.92,0.76,0.87,0.75,0.72,0.81,1.629937525967506,2.119307724030258,1.531294086617588,2.057396990305336,1.601961890881681,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,30
8,35,0.8,0.94,0.79,0.91,0.78,0.87,0.75,0.72,0.81,1.5688618940542725,2.110515381048751,1.5610798606785439,2.065250279576452,1.5873282902170547,1.816920783679511,1.432070464306543,1.3676596599199002,1.5979086936363374,0,0,0,0,0,0,0,0,0,35
