alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.1,Subsampling,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,GHCP,0,0.85,0.923,0.26672484350382913,0.008430361795320529,1000.0,185018.61434569902,32485.691640686287,1027.287769504609,184545.9707897029,162625.95600443223,205705.94315206658,105841.87430994595,298679.93596598593,1000.0,1000.0,0.0,1.0,0.0
0.15,GHCP,5,0.85,0.906,0.29197474077263813,0.009228434320078352,1000.0,162853.22484145814,27194.664225892906,859.9707915732135,160831.41230630377,143732.53413588885,180894.4869777953,86437.059066769,252116.3581796451,1000.0,1000.0,0.0,1.0,0.0
0.15,GHCP,10,0.85,0.906,0.29197474077263813,0.009228434320078352,1000.0,146651.84110070262,24493.18368106628,774.5424758103661,145442.82164650335,129152.9280764201,163697.2778072548,85598.24574525084,235184.70788502123,1000.0,1000.0,0.0,1.0,0.0
0.15,GHCP,15,0.85,0.894,0.30799165387857325,0.009734680272099335,1000.0,135617.24543719203,23350.40820456842,738.4047422111915,133607.06785962544,119221.41689531847,150911.6196372449,79094.69813438584,211455.22834277543,1000.0,1000.0,0.0,1.0,0.0
0.15,GHCP,20,0.85,0.88,0.3251241389157466,0.010276186062932104,1000.0,126210.39985608573,22143.78721728904,700.2480362875525,123862.23717068485,110349.6444620619,140309.70039698706,78560.72192939522,202185.3163724235,1000.0,1000.0,0.0,1.0,0.0
0.15,HCP,0,0.85,0.915,0.2790212408632233,0.008819013550278736,1000.0,184269.15775811792,31430.864571849415,993.9312087533718,182505.81179129542,162797.41783605755,205410.17510247199,93051.5569132678,285277.0089496086,1000.0,1000.0,0.0,1.0,0.0
0.15,HCP,5,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,HCP,10,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,HCP,15,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,HCP,20,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Pooled-Income-Quantile,0,0.85,0.855,0.3522770203960217,0.011134406135937382,1000.0,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
0.15,Pooled-Income-Quantile,5,0.85,0.855,0.3522770203960217,0.011134406135937382,1000.0,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
0.15,Pooled-Income-Quantile,10,0.85,0.855,0.3522770203960217,0.011134406135937382,1000.0,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
0.15,Pooled-Income-Quantile,15,0.85,0.855,0.3522770203960217,0.011134406135937382,1000.0,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
0.15,Pooled-Income-Quantile,20,0.85,0.855,0.3522770203960217,0.011134406135937382,1000.0,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
0.15,Pooling,0,0.85,0.825,0.38015722999769397,0.012015614840697917,1000.0,123919.86179568282,23393.338266277213,739.7623099621052,121170.5244583042,107581.10066867653,139797.04622422738,65830.14159413343,209532.5569049057,1000.0,1000.0,0.0,1.0,0.0
0.15,Pooling,5,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Pooling,10,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Pooling,15,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Pooling,20,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Repeated,0,0.85,0.958,0.20068950215762726,0.006343185319695463,1000.0,247916.7186049791,57538.19730605564,1819.517559473002,244345.04843008792,205890.6557309719,284203.8998045265,114612.19680863924,447003.0320946931,1000.0,1000.0,0.0,1.0,0.0
0.15,Repeated,5,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Repeated,10,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Repeated,15,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Repeated,20,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,S-HCP,0,0.85,0.904,0.2947386484173239,0.009315793041926167,1000.0,248875.62915620362,213221.7037606171,6742.6623046523955,179666.26862304978,134177.8821858927,254953.23247423238,46703.35989488085,1076904.8329208111,1000.0,1000.0,0.0,1.0,0.0
0.15,S-HCP,5,0.85,0.844,0.3630369069334353,0.011474493452871897,1000.0,128451.12249024132,33573.02328837598,1061.672215291441,125874.12754508946,104939.23866054922,147967.52684016206,48078.889664950344,362258.4093426054,1000.0,1000.0,0.0,1.0,0.0
0.15,S-HCP,10,0.85,0.855,0.3522770203960217,0.011134406135937382,1000.0,118562.66389930657,25027.056939285663,791.4250305886507,115933.3884734599,101116.20731912022,134677.98684707267,60299.68379516396,208550.16084933377,1000.0,1000.0,0.0,1.0,0.0
0.15,S-HCP,15,0.85,0.862,0.3450725649411658,0.01090669519148674,1000.0,113778.67840153724,20731.151921947057,655.5765859232994,112485.55345247353,99039.91494814695,127869.47597880819,65491.55016687227,187908.60344595707,1000.0,1000.0,0.0,1.0,0.0
0.15,S-HCP,20,0.85,0.858,0.34922479573758497,0.011037934589405756,1000.0,108189.83106076771,18147.036507767112,573.8596814677194,106350.7323699334,95233.18614318405,119992.88959276715,56282.3088038836,169791.20224064728,1000.0,1000.0,0.0,1.0,0.0
0.15,Std-CP,0,0.85,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.15,Std-CP,5,0.85,0.849,0.35822803816469656,0.01132249972400088,1000.0,148556.12269736844,173836.1691820107,7049.9876021583605,98320.0,55995.0,173513.0,3180.0,1102632.0,1000.0,608.0,392.0,0.608,0.392
0.15,Std-CP,10,0.85,0.852,0.3552776691859794,0.011229247525992114,1000.0,168027.5489009793,180529.26993235745,5955.111126882986,111984.0,71826.23999999999,192704.0,12656.0,1095000.0,1000.0,919.0,81.0,0.919,0.081
0.15,Std-CP,15,0.85,0.862,0.3450725649411658,0.01090669519148674,1000.0,172558.418,181952.1016476974,5753.830662611997,118946.62857142856,74160.57142857143,194959.42857142858,13531.428571428572,1086800.0,1000.0,1000.0,0.0,1.0,0.0
0.15,Std-CP,20,0.85,0.848,0.3592005359475749,0.011353237423748348,1000.0,156896.67944,166375.09406161882,5261.2424315947,110246.0,69677.20000000001,177581.0,16780.0,1219479.6,1000.0,1000.0,0.0,1.0,0.0
0.15,Subsampling,0,0.85,0.897,0.304110972316823,0.009612023720320294,1000.0,248822.74267893945,205398.91221087475,6495.283915073354,186317.32021127394,133604.92703195065,266639.9070434015,45348.79431678233,1069355.8217071283,1000.0,1000.0,0.0,1.0,0.0
0.15,Subsampling,5,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Subsampling,10,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Subsampling,15,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,Subsampling,20,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,GHCP,0,0.8,0.855,0.3522770203960217,0.011134406135937382,1000.0,140824.69694083923,26170.170420628194,827.5734528395186,138509.4631558612,121207.74143538048,157462.8242295867,76262.00168036233,237997.97356652468,1000.0,1000.0,0.0,1.0,0.0
0.2,GHCP,5,0.8,0.851,0.3562666500332664,0.011260506205317771,1000.0,126169.20140488914,22051.595615461527,697.3326818584097,124050.33125765865,110060.55944766192,141153.9586597065,70737.01852728217,201535.16948256717,1000.0,1000.0,0.0,1.0,0.0
0.2,GHCP,10,0.8,0.854,0.35328290194801226,0.011166198995181844,1000.0,115537.01955956478,18860.532986376056,596.4224212168581,114856.86488440869,101799.72972469885,128452.79867498836,68429.97062751043,184227.99826301035,1000.0,1000.0,0.0,1.0,0.0
0.2,GHCP,15,0.8,0.84,0.366789496216201,0.011593101396951551,1000.0,109312.9589550471,17862.443218756634,564.8600514670027,108142.13521481349,96568.21387894094,120613.90737975322,66503.23607824038,184155.0576118129,1000.0,1000.0,0.0,1.0,0.0
0.2,GHCP,20,0.8,0.831,0.3749394345485409,0.011850696182081458,1000.0,103543.31921693274,16802.99627245469,531.3573973627601,102583.90831655884,91462.28011104617,114814.45230392816,61771.09061624528,163473.68030492126,1000.0,1000.0,0.0,1.0,0.0
0.2,HCP,0,0.8,0.858,0.34922479573758497,0.011037934589405756,1000.0,139889.6966197726,25374.625854302696,802.4161247419239,137942.5242781789,121496.25332164974,156448.00656462152,70823.23447642001,223627.82837429928,1000.0,1000.0,0.0,1.0,0.0
