method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
HCP,0,0.2,0.8,139889.6966197726,802.4161247419239,25374.625854302696,137942.5242781789,121496.25332164974,156448.00656462152,70823.23447642001,223627.82837429928,1000.0,1000.0,0.0,1.0,0.0
HCP,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.2,0.8,102889.47086214708,636.605425650627,20131.2311587696,100491.290008203,88248.46621400176,115055.19864492839,55713.51175064049,171052.4126708198,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.2,0.8,128718.54536852158,754.1058280606916,23846.92013479102,127022.24683875244,111298.75608438451,143972.39776375837,70880.7797694887,207231.304010488,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.2,0.8,128399.611827685,2037.0177654386482,64416.15773012749,117318.6239142044,83665.46986175011,160209.1630049713,31804.635296729415,848727.5033491198,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.2,0.8,105798.58057699045,831.9350477252427,26308.096161326495,103219.93199845881,86841.93136315662,121714.8386592067,50725.82507636219,240591.66603610455,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.2,0.8,96102.2424398019,629.1669291885169,19896.005246895875,93920.21283861551,81384.95506112327,107631.37119715047,47520.72741079089,188649.6614230137,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.2,0.8,96063.02905223276,533.5065140527103,16870.95730943193,95504.9463129731,83577.71147402901,107245.74658275268,52328.97911632554,164777.3793388055,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.2,0.8,92525.16917014858,487.9788337228825,15431.245645168914,91296.61470503511,81983.97168673069,101976.41964728059,46445.316841761945,154699.18713795271,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.2,0.8,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.2,0.8,142899.89564134495,5810.079576036591,164641.7043702526,96163.8,55827.0,169310.0,3180.0,1102632.0,1000.0,803.0,197.0,0.803,0.197
Std-CP,10,0.2,0.8,148387.1872,5122.908560653954,162000.59296441346,98683.2,61457.2,172617.0,12656.0,1095000.0,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.2,0.8,129086.34405714285,3769.890077993382,119214.391749289,99178.85714285716,59798.57142857146,157199.4285714286,13531.428571428572,1086800.0,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.2,0.8,114039.3936,2615.280883277307,82702.44312253255,92989.2,59582.15,143925.2,12376.800000000005,856678.52,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.2,0.8,129707.9946373555,2293.226639674077,72518.19372344336,117081.76253339896,85915.02086878114,157396.98101605455,30361.052421941888,965673.2282240036,1000.0,1000.0,0.0,1.0,0.0
Subsampling,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
