alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.125,Pooling,10,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Pooling,15,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Pooling,20,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Repeated,0,0.875,0.917,0.27602026589942125,0.008724161850859943,1000.0,274131.1458535666,128752.6011917244,4071.5147443715873,270137.44298204524,164463.64071640727,371275.8280338599,24009.176715375695,641610.3499376391,1000.0,1000.0,0.0,1.0,0.0
0.125,Repeated,5,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Repeated,10,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Repeated,15,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Repeated,20,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,S-HCP,0,0.875,0.9,0.3001501125938321,0.009486832980505136,1000.0,302117.4385265657,219555.47445022193,6942.953720216062,243361.29262764973,141956.21088969382,409914.4107852132,13934.392875731508,1743406.1923262067,1000.0,1000.0,0.0,1.0,0.0
0.125,S-HCP,5,0.875,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.125,S-HCP,10,0.875,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.125,S-HCP,15,0.875,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.125,S-HCP,20,0.875,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.125,Std-CP,0,0.875,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.125,Std-CP,5,0.875,0.775,0.41779127509983927,0.013205112646244256,1000.0,206019.61600041582,199997.0661148094,6324.462542740801,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
0.125,Std-CP,10,0.875,0.791,0.40679784228100874,0.012857643641040918,1000.0,186373.4665312916,139453.72218214226,4409.91390283916,145677.50178585213,96044.61457299827,228636.19342650933,11159.79788553411,866757.1376692767,1000.0,1000.0,0.0,1.0,0.0
0.125,Std-CP,15,0.875,0.861,0.3461196307619647,0.010939789760319894,1000.0,243218.82068951154,180300.19432244336,5701.592766298803,180639.46166030972,119896.31321265988,301956.45073976746,21837.68833136584,1271773.7073021624,1000.0,1000.0,0.0,1.0,0.0
0.125,Std-CP,20,0.875,0.853,0.3542831022170216,0.011197812286335219,1000.0,218724.29082613855,154941.18234937315,4899.670395834979,169361.64653097614,110701.81615542757,279001.49188480596,32615.830333096783,927203.1441645093,1000.0,1000.0,0.0,1.0,0.0
0.125,Subsampling,0,0.875,0.904,0.2947386484173239,0.009315793041926167,1000.0,308768.94091626303,222371.56932276444,7032.006459259621,253810.83990833373,152714.91410659283,412204.52707900765,15651.301734549426,1825536.4017241416,1000.0,1000.0,0.0,1.0,0.0
0.125,Subsampling,5,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Subsampling,10,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Subsampling,15,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,Subsampling,20,0.875,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,D-HCP,0,0.85,0.926,0.2619018758859749,0.008277922444671728,1000.0,284106.47171909176,135634.08347839996,4289.1263214115725,281735.3968195722,174452.2409457122,380999.3093376339,26330.15200978481,832005.3312892929,1000.0,1000.0,0.0,1.0,0.0
0.15,D-HCP,5,0.85,0.899,0.3014795016081357,0.009528850927577784,1000.0,227670.74120384813,107513.42763326109,3399.8731037279126,215532.90964130932,144069.693716797,298987.3142968282,34394.702701447,741117.4784522199,1000.0,1000.0,0.0,1.0,0.0
0.15,D-HCP,10,0.85,0.881,0.32395052700056526,0.010239091756596383,1000.0,202644.26708951584,95567.1186652413,3022.0976440175314,189575.5503479174,129713.17846848229,256683.6018629892,40141.7433349931,706548.97965818,1000.0,1000.0,0.0,1.0,0.0
0.15,D-HCP,15,0.85,0.868,0.33866014039253384,0.010704017937204702,1000.0,187809.36898841226,88181.7151542484,2788.5506786761116,175545.29813512895,117982.79003230213,242637.89464088622,40824.88451206751,518768.10573518166,1000.0,1000.0,0.0,1.0,0.0
0.15,D-HCP,20,0.85,0.849,0.35822803816469656,0.01132249972400088,1000.0,171720.84410584776,79629.29584100068,2518.099433329353,160823.10438151937,109302.98175796117,220436.69474200383,39478.16757661293,469736.458243356,1000.0,1000.0,0.0,1.0,0.0
0.15,HCP,0,0.85,0.917,0.2760202658994212,0.008724161850859943,1000.0,267002.9398045729,125696.63287036816,3974.8765408435165,263034.835894824,161214.82515734553,357895.43386575393,25914.01322906626,662131.348840308,1000.0,1000.0,0.0,1.0,0.0
0.15,HCP,5,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,HCP,10,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.15,HCP,15,0.85,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
