tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,20,4,17.46270375351129,1.1794508210299177,1.1719264863490124,0.06754113439007182,100,True
5.0,0.1,20,0,14.968637337285962,2.0786382612553704,2.050567073564046,0.13886623173624557,100,True
5.0,0.1,20,3,13.661585613171056,2.403436173796776,2.068168818238311,0.17592659021070273,100,True
5.0,0.1,20,5,13.515357077018196,0.5123079745733422,2.3742698404794176,0.037905618893671826,100,True
5.0,0.1,20,6,25.330485105208254,4.491210619051837,7.6752804841427364,0.17730456406175932,100,True
5.0,0.1,20,7,11.554641663967733,1.9929060753411771,3.2520696854840034,0.1724766663734716,100,True
5.0,0.1,20,8,12.43259147588016,0.7864381377069146,2.2854957191079617,0.06325617142915403,100,True
5.0,0.1,20,10,19.011560679758034,3.926759142365536,3.2551625410356735,0.20654585956987898,100,True
5.0,0.1,20,9,15.283958981957936,0.8264236825767212,1.1037595272447749,0.054071309897669784,100,True
5.0,0.1,20,11,16.474073436899474,0.780304671079008,0.7906624260226325,0.047365618107009386,100,True
5.0,0.1,20,13,14.601340459822831,1.2694959932817105,1.4834355764450344,0.08694379785026356,100,True
5.0,0.1,20,15,11.704189289343965,1.4496609912232863,1.2173460895906012,0.1238583002534934,100,True
5.0,0.1,20,12,15.057069194800231,0.7998595119355101,1.562119451666824,0.053121859346421246,100,True
5.0,0.1,20,14,14.399874391780745,0.8631973004097794,2.727339579061952,0.059944779858807716,100,True
5.0,0.1,20,17,15.921745219294984,4.175616824473669,3.848301219662495,0.2622587390365593,100,True
5.0,0.1,20,16,24.40941275625784,1.047848004346456,3.136116140426233,0.04292803005176023,100,True
5.0,0.1,20,18,17.617307293322675,1.6341300934771776,1.8012298675563765,0.09275708632820107,100,True
5.0,0.1,20,19,14.19796033854987,1.154641347630573,1.5054777527967298,0.08132445225216794,100,True
5.0,0.1,20,22,13.116145835081436,0.29489332822093944,1.2778566780703777,0.02248323035812818,100,True
5.0,0.1,20,20,19.702673342552504,1.4786027645546371,6.577792808613296,0.075045793981736,100,True
5.0,0.1,20,23,14.953342754339374,0.4405760509448078,1.3122620121922854,0.02946338208003392,100,True
5.0,0.1,20,21,13.187629304741344,1.6779630406491433,1.0278811684740052,0.1272376559785363,100,True
5.0,0.1,20,24,14.836769225755198,0.3737496435944257,0.9599971387585674,0.02519077016751278,100,True
5.0,0.1,20,25,16.173696794849523,1.1769228322560532,3.9676247417922124,0.07276770717198319,100,True
5.0,0.1,20,28,16.466998223834125,1.5629689698906408,2.294498544712235,0.09491523279746392,100,True
5.0,0.1,20,27,17.818487008385606,3.4590491803118173,1.9081585131036556,0.1941269861287294,100,True
5.0,0.1,20,26,12.032851127310478,0.9900267250358206,1.0192408844029148,0.08227698610753995,100,True
5.0,0.1,20,29,17.62157422065693,1.0258176822920375,2.01297141805509,0.058213736721065494,100,True
5.0,0.1,20,30,32.53267165817477,4.989876242736562,14.392597359935774,0.15338046303623246,100,True
5.0,0.1,20,32,16.56761253471516,1.5313109269753857,1.1957493954518188,0.09242797800628991,100,True
5.0,0.1,20,34,12.822511191452831,1.0801865980940188,1.3549736016743836,0.08424142369351524,100,True
5.0,0.1,20,33,23.949018986098476,4.2855285081917875,6.739506024488457,0.17894380186008366,100,True
5.0,0.1,20,31,17.947674212248536,4.320234950525817,4.172726484387659,0.24071280208426327,100,True
5.0,0.1,20,35,18.892222218854457,1.2392460314780693,4.3226024966936505,0.0655955671663284,100,True
5.0,0.1,20,36,12.64796144871992,1.3357783617209893,0.8242485024494558,0.10561214683779585,100,True
5.0,0.1,20,37,16.137456145987986,0.7570023582393405,0.9406577526007981,0.0469096461915122,100,True
5.0,0.1,20,38,13.952226568143903,1.2941881394656833,1.0806333068378824,0.0927585380831335,100,True
5.0,0.1,20,39,13.82098401773122,1.58445906745712,1.048232110401762,0.11464155268715927,100,True
5.0,0.1,20,40,12.322397505318913,0.7645222481028688,2.9600390668197583,0.0620433034864251,100,True
5.0,0.1,20,41,13.897330457968053,1.5034893379613103,1.9753321199659122,0.10818547795985399,100,True
5.0,0.1,20,42,14.346991039195345,1.0163253649119923,2.0133500260504213,0.07083892100688126,100,True
5.0,0.1,20,43,12.84371229125514,0.5502576725702348,0.6925980814288368,0.042842572310256996,100,True
5.0,0.1,20,45,13.112979063955475,1.7267132431655285,1.2157039473986868,0.13167970716218566,100,True
5.0,0.1,20,44,12.35625993280601,0.8796613068487719,0.49344208595439193,0.07119155081168704,100,True
5.0,0.1,20,47,20.47006359827657,3.1784307765844506,6.830169909354987,0.1552721495624494,100,True
