tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
5.0,0.05,2,20,Repeated,1.0,,,,100,12345
5.0,0.05,2,20,S-HCP-within,0.93,9.01939326452327,8.984022706780273,0.635103175846088,0,12345
5.0,0.05,2,20,Std-CP,0.9,6.9914239062030346,6.067791627387526,3.422821223744878,0,12345
5.0,0.05,2,20,Subsampling,1.0,,,,100,12345
5.0,0.05,2,25,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,2,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,25,HCP,1.0,,,,100,12345
5.0,0.05,2,25,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,25,Repeated,1.0,,,,100,12345
5.0,0.05,2,25,S-HCP-within,0.97,7.515041486764505,7.2013078840104345,2.306872157898504,0,12345
5.0,0.05,2,25,Std-CP,0.96,6.682492698777879,6.545995924249549,2.1515728139498185,0,12345
5.0,0.05,2,25,Subsampling,1.0,,,,100,12345
5.0,0.05,2,30,Donor-HCP-no-within,0.97,16.034015356226437,15.336956249629514,7.349531064005346,0,12345
5.0,0.05,2,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,30,HCP,1.0,,,,100,12345
5.0,0.05,2,30,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,30,Repeated,1.0,,,,100,12345
5.0,0.05,2,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,2,30,Std-CP,0.96,6.642078298421085,6.261801686718627,2.3585939048808817,0,12345
5.0,0.05,2,30,Subsampling,1.0,,,,100,12345
5.0,0.05,2,35,Donor-HCP-no-within,0.98,16.26835165327864,15.48059194539837,7.330257807711861,0,12345
5.0,0.05,2,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,35,HCP,1.0,,,,100,12345
5.0,0.05,2,35,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,35,Repeated,1.0,,,,100,12345
5.0,0.05,2,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,2,35,Std-CP,0.97,6.661735481816051,6.361604514135582,1.994645323903126,0,12345
5.0,0.05,2,35,Subsampling,1.0,,,,100,12345
5.0,0.05,3,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,3,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,0,HCP,1.0,,,,100,12345
5.0,0.05,3,0,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,0,Repeated,1.0,,,,100,12345
5.0,0.05,3,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,3,0,Std-CP,1.0,,,,100,12345
5.0,0.05,3,0,Subsampling,1.0,,,,100,12345
5.0,0.05,3,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,3,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,5,HCP,1.0,,,,100,12345
5.0,0.05,3,5,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,5,Repeated,1.0,,,,100,12345
5.0,0.05,3,5,S-HCP-within,0.88,12.562641974946438,12.152205265973416,2.069909766748965,0,12345
5.0,0.05,3,5,Std-CP,0.72,6.521596544662298,5.324006205017401,4.180611557685188,0,12345
5.0,0.05,3,5,Subsampling,1.0,,,,100,12345
5.0,0.05,3,10,Donor-HCP-no-within,0.96,20.791792877502647,20.013896796986465,3.5932496563667713,0,12345
5.0,0.05,3,10,Donor-HCP-within,0.98,15.93928718718201,14.48163366129464,3.2394940113434734,66,12345
5.0,0.05,3,10,HCP,1.0,,,,100,12345
5.0,0.05,3,10,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,10,Repeated,1.0,,,,100,12345
5.0,0.05,3,10,S-HCP-within,0.89,9.223346828111202,9.069108162278333,1.0609330206095045,0,12345
5.0,0.05,3,10,Std-CP,0.84,26.505748547141604,13.096831019429482,42.10432530606247,0,12345
5.0,0.05,3,10,Subsampling,1.0,,,,100,12345
5.0,0.05,3,15,Donor-HCP-no-within,0.89,19.798112580777516,18.80676327299787,3.718741499674978,0,12345
5.0,0.05,3,15,Donor-HCP-within,0.97,13.864841004284322,13.464999258357143,2.033044702586915,0,12345
5.0,0.05,3,15,HCP,1.0,,,,100,12345
5.0,0.05,3,15,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,15,Repeated,1.0,,,,100,12345
5.0,0.05,3,15,S-HCP-within,0.91,8.51299915398171,8.32436759478171,1.2123179961013872,0,12345
5.0,0.05,3,15,Std-CP,0.88,9.191261304914999,7.697304319265938,5.069388792806982,0,12345
5.0,0.05,3,15,Subsampling,1.0,,,,100,12345
5.0,0.05,3,20,Donor-HCP-no-within,0.91,17.292607040150084,15.709548467777857,4.2507557994474725,0,12345
5.0,0.05,3,20,Donor-HCP-within,0.95,9.629392924064462,8.808730351257047,2.1435893508079893,23,12345
5.0,0.05,3,20,HCP,1.0,,,,100,12345
5.0,0.05,3,20,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,20,Repeated,1.0,,,,100,12345
5.0,0.05,3,20,S-HCP-within,0.96,7.724431897876354,7.668486947495582,0.7499508539282457,0,12345
5.0,0.05,3,20,Std-CP,0.92,7.150519685885521,7.063564299937632,2.8550430171636663,0,12345
5.0,0.05,3,20,Subsampling,1.0,,,,100,12345
5.0,0.05,3,25,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,3,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,25,HCP,1.0,,,,100,12345
5.0,0.05,3,25,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,25,Repeated,1.0,,,,100,12345
5.0,0.05,3,25,S-HCP-within,0.97,8.666401634490084,8.452237230312253,1.5032943726272165,0,12345
5.0,0.05,3,25,Std-CP,0.93,7.124172284785918,7.110560936852496,2.2738429231225536,0,12345
5.0,0.05,3,25,Subsampling,1.0,,,,100,12345
5.0,0.05,3,30,Donor-HCP-no-within,0.95,15.70230688950131,14.147410236589621,7.019751692518515,0,12345
5.0,0.05,3,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,30,HCP,1.0,,,,100,12345
5.0,0.05,3,30,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,30,Repeated,1.0,,,,100,12345
5.0,0.05,3,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,3,30,Std-CP,0.95,6.430244348717626,6.24043249028184,1.9002703356726236,0,12345
5.0,0.05,3,30,Subsampling,1.0,,,,100,12345
5.0,0.05,3,35,Donor-HCP-no-within,0.96,15.845911405108724,14.192759881718333,6.99730645581546,0,12345
5.0,0.05,3,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,35,HCP,1.0,,,,100,12345
5.0,0.05,3,35,Pooling,0.91,23.0406600256447,23.0406600256447,2.7426388062414207e-15,0,12345
5.0,0.05,3,35,Repeated,1.0,,,,100,12345
5.0,0.05,3,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,3,35,Std-CP,0.97,6.375437395929144,6.235903160267911,1.653546412982894,0,12345
5.0,0.05,3,35,Subsampling,1.0,,,,100,12345
5.0,0.05,4,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,4,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,0,HCP,1.0,,,,100,12345
5.0,0.05,4,0,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,0,Repeated,1.0,,,,100,12345
5.0,0.05,4,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,4,0,Std-CP,1.0,,,,100,12345
5.0,0.05,4,0,Subsampling,1.0,,,,100,12345
5.0,0.05,4,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,4,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,5,HCP,1.0,,,,100,12345
5.0,0.05,4,5,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,5,Repeated,1.0,,,,100,12345
5.0,0.05,4,5,S-HCP-within,0.9,27.90600477862725,27.637147011245013,3.8364907138124584,0,12345
5.0,0.05,4,5,Std-CP,0.8,7.450091716216354,5.019521804570372,14.91641045333419,0,12345
5.0,0.05,4,5,Subsampling,1.0,,,,100,12345
5.0,0.05,4,10,Donor-HCP-no-within,0.91,39.93497704829,42.44009477094289,8.472957365149842,0,12345
5.0,0.05,4,10,Donor-HCP-within,1.0,29.00864154322602,29.1088248475748,4.54557336631637,63,12345
5.0,0.05,4,10,HCP,1.0,,,,100,12345
5.0,0.05,4,10,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,10,Repeated,1.0,,,,100,12345
5.0,0.05,4,10,S-HCP-within,0.93,18.371456736145028,18.08707003957408,2.244267414493509,0,12345
5.0,0.05,4,10,Std-CP,0.87,54.58269314117065,14.26572294765818,173.84246782589025,0,12345
5.0,0.05,4,10,Subsampling,1.0,,,,100,12345
5.0,0.05,4,15,Donor-HCP-no-within,0.94,33.55106669474715,32.361981703236125,5.602627235468999,0,12345
5.0,0.05,4,15,Donor-HCP-within,0.97,21.8836356219608,21.612772899733237,3.5059650621254335,0,12345
5.0,0.05,4,15,HCP,1.0,,,,100,12345
5.0,0.05,4,15,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,15,Repeated,1.0,,,,100,12345
5.0,0.05,4,15,S-HCP-within,0.93,12.944448914422555,12.589060367076538,1.6341499165632922,0,12345
5.0,0.05,4,15,Std-CP,0.92,9.048692779914509,8.015914349657638,4.781542625531823,0,12345
5.0,0.05,4,15,Subsampling,1.0,,,,100,12345
5.0,0.05,4,20,Donor-HCP-no-within,1.0,35.52402312487387,40.16871620019397,5.212027576454212,60,12345
5.0,0.05,4,20,Donor-HCP-within,1.0,14.019795810618772,12.79555322747786,1.5049741977901485,63,12345
5.0,0.05,4,20,HCP,1.0,,,,100,12345
5.0,0.05,4,20,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,20,Repeated,1.0,,,,100,12345
5.0,0.05,4,20,S-HCP-within,0.98,11.315712185332137,11.379486067044777,1.022207796078491,0,12345
5.0,0.05,4,20,Std-CP,0.92,6.858697892351033,6.74080016801663,2.493977551224654,0,12345
5.0,0.05,4,20,Subsampling,1.0,,,,100,12345
5.0,0.05,4,25,Donor-HCP-no-within,0.96,28.9302230520496,34.907108478681636,7.228188401547289,37,12345
5.0,0.05,4,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,25,HCP,1.0,,,,100,12345
5.0,0.05,4,25,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,25,Repeated,1.0,,,,100,12345
5.0,0.05,4,25,S-HCP-within,1.0,11.67535491076169,11.766239710530662,1.0852358715944475,0,12345
5.0,0.05,4,25,Std-CP,0.94,6.7350672841624215,6.622668582836606,2.1430498078417317,0,12345
5.0,0.05,4,25,Subsampling,1.0,,,,100,12345
5.0,0.05,4,30,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,4,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,30,HCP,1.0,,,,100,12345
5.0,0.05,4,30,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,30,Repeated,1.0,,,,100,12345
5.0,0.05,4,30,S-HCP-within,0.99,7.66788038365749,7.123029531887789,1.6816894666148805,0,12345
