tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,10,39,23.746918624358344,3.0509387332175133,4.755830178896574,0.1284772471527325,100,True
5.0,0.1,10,42,45.85210684830577,17.608587611725756,23.335199333840016,0.384030065837125,100,True
5.0,0.1,10,45,23.55848576537075,1.6441973287290264,3.386222721925657,0.06979214815011056,100,True
5.0,0.1,10,44,24.475051005458166,1.4667954313469553,1.3616783785480413,0.059930229809116484,100,True
5.0,0.1,10,46,24.742791828940426,1.6166733299193192,1.930357080965881,0.06533916387027822,100,True
5.0,0.1,10,43,23.24572062338515,1.2598180154414447,2.98401661643973,0.054195696311262996,100,True
5.0,0.1,10,47,27.26191234600949,3.2227328484388944,3.054376206805224,0.11821374845373339,100,True
5.0,0.1,10,48,16.343849913832695,1.5819798910737435,1.1842089164542928,0.09679358898999844,100,True
5.0,0.1,10,49,34.6836350579965,9.460445250817315,9.607198723966373,0.272763948617207,100,True
5.0,0.1,15,3,18.13427931347883,3.6020144909954057,3.2612730590799806,0.1986301428763206,100,True
5.0,0.1,15,4,29.272213825719515,5.856099687721994,6.3543119637118854,0.20005660393805388,100,True
5.0,0.1,15,5,19.198626973432397,3.1356873661109477,2.3944764197863018,0.16332873024983507,100,True
5.0,0.1,15,2,21.32571854270014,1.3280500026751751,3.988230183458932,0.062274572367446476,100,True
5.0,0.1,15,0,31.246798868443225,2.7918527084970823,12.158819227289737,0.08934843918737004,100,True
5.0,0.1,15,1,32.73887976439401,21.58926357569772,16.750692509318853,0.6594380666371386,100,True
5.0,0.1,15,6,20.293679548486832,2.2820194865550447,1.3464450071414924,0.11244976452410771,100,True
5.0,0.1,15,8,13.934116916188453,1.2896940116690605,1.8511785071750853,0.0925565659758971,100,True
5.0,0.1,15,9,23.119430240422336,1.7324552055541063,3.909549223845129,0.07493503029867307,100,True
5.0,0.1,15,7,14.028843947102184,1.1224111701723445,2.151364218286663,0.08000738866328264,100,True
5.0,0.1,15,10,16.243221333667815,1.3659058041624568,1.82650313750322,0.0840908201707073,100,True
