exp_id,o,method,coverage,mean_width,n_infinite
46,30,with_training,0.9,4.921681152725169,0
46,40,no_training,0.9,14.23015527879782,0
46,40,with_training,0.93,4.634296603830035,0
46,HCP,HCP,0.99,41.08924743201016,0
47,0,no_training,0.87,23.485481423083343,0
47,0,with_training,0.89,22.281929245060724,0
47,10,no_training,0.88,21.496131531430024,0
47,10,with_training,0.88,17.23343588104076,0
47,20,no_training,0.91,21.402075062092557,0
47,20,with_training,0.9,15.224261156334805,0
47,30,no_training,0.9,14.75489888102377,0
47,30,with_training,0.94,4.916611113465056,0
47,40,no_training,0.91,14.61940724422829,0
47,40,with_training,0.91,4.793657516822404,0
47,HCP,HCP,0.96,26.533528343610143,0
48,0,no_training,0.96,32.92452467737983,0
48,0,with_training,0.91,32.321011416711734,0
48,10,no_training,0.95,31.72590145990718,0
48,10,with_training,0.92,25.512072123241246,0
48,20,no_training,0.91,30.5905828392895,0
48,20,with_training,0.91,21.053321316709273,0
48,30,no_training,0.91,13.956252189117452,0
48,30,with_training,0.92,4.9755724934654015,0
48,40,no_training,0.93,13.779495226224745,0
48,40,with_training,0.94,4.744464588196293,0
48,HCP,HCP,0.98,53.54991520359356,0
49,0,no_training,0.89,32.05819868051056,0
49,0,with_training,0.85,33.84276263547824,0
49,10,no_training,0.88,33.278754163738725,0
49,10,with_training,0.91,26.88627814566574,0
49,20,no_training,0.93,32.39473648860992,0
49,20,with_training,0.85,21.987597115420684,0
49,30,no_training,0.83,16.908144810442508,0
49,30,with_training,0.89,4.942144539657129,0
49,40,no_training,0.84,16.859705811714846,0
49,40,with_training,0.9,4.765109130384249,0
49,HCP,HCP,0.97,31.27173467110195,0
