method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
Subsampling,5,0.125,0.875,,,,0.0
Subsampling,10,0.125,0.875,,,,0.0
Subsampling,15,0.125,0.875,,,,0.0
Subsampling,20,0.125,0.875,,,,0.0
D-HCP,0,0.15,0.85,0.926,0.008277922444671728,0.2619018758859749,1000.0
D-HCP,5,0.15,0.85,0.899,0.009528850927577784,0.3014795016081357,1000.0
D-HCP,10,0.15,0.85,0.881,0.010239091756596383,0.32395052700056526,1000.0
D-HCP,15,0.15,0.85,0.868,0.010704017937204702,0.33866014039253384,1000.0
D-HCP,20,0.15,0.85,0.849,0.01132249972400088,0.35822803816469656,1000.0
HCP,0,0.15,0.85,0.917,0.008724161850859943,0.2760202658994212,1000.0
HCP,5,0.15,0.85,,,,0.0
HCP,10,0.15,0.85,,,,0.0
HCP,15,0.15,0.85,,,,0.0
HCP,20,0.15,0.85,,,,0.0
Pooled-Income-Quantile,0,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,5,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,10,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,15,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,20,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooling,0,0.15,0.85,0.83,0.0118785521003193,0.3758207567993568,1000.0
Pooling,5,0.15,0.85,,,,0.0
Pooling,10,0.15,0.85,,,,0.0
Pooling,15,0.15,0.85,,,,0.0
Pooling,20,0.15,0.85,,,,0.0
Repeated,0,0.15,0.85,0.924,0.008379976133617564,0.2651307117146075,1000.0
Repeated,5,0.15,0.85,,,,0.0
Repeated,10,0.15,0.85,,,,0.0
Repeated,15,0.15,0.85,,,,0.0
Repeated,20,0.15,0.85,,,,0.0
S-HCP,0,0.15,0.85,0.9,0.009486832980505136,0.3001501125938321,1000.0
S-HCP,5,0.15,0.85,1.0,0.0,0.0,1000.0
S-HCP,10,0.15,0.85,1.0,0.0,0.0,1000.0
S-HCP,15,0.15,0.85,1.0,0.0,0.0,1000.0
S-HCP,20,0.15,0.85,1.0,0.0,0.0,1000.0
Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
Std-CP,5,0.15,0.85,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.15,0.85,0.791,0.012857643641040918,0.40679784228100874,1000.0
Std-CP,15,0.15,0.85,0.802,0.012601428490452976,0.3986915536538929,1000.0
Std-CP,20,0.15,0.85,0.853,0.011197812286335219,0.3542831022170216,1000.0
Subsampling,0,0.15,0.85,0.894,0.009734680272099335,0.30799165387857325,1000.0
Subsampling,5,0.15,0.85,,,,0.0
Subsampling,10,0.15,0.85,,,,0.0
Subsampling,15,0.15,0.85,,,,0.0
Subsampling,20,0.15,0.85,,,,0.0
D-HCP,0,0.175,0.825,0.893,0.009775019181566856,0.3092679204939411,1000.0
D-HCP,5,0.175,0.825,0.872,0.010564847372300274,0.33425697857745273,1000.0
D-HCP,10,0.175,0.825,0.868,0.010704017937204702,0.33866014039253384,1000.0
D-HCP,15,0.175,0.825,0.849,0.01132249972400088,0.3582280381646966,1000.0
D-HCP,20,0.175,0.825,0.831,0.011850696182081458,0.3749394345485409,1000.0
HCP,0,0.175,0.825,0.887,0.010011543337567888,0.31675121362250747,1000.0
HCP,5,0.175,0.825,,,,0.0
HCP,10,0.175,0.825,,,,0.0
HCP,15,0.175,0.825,,,,0.0
HCP,20,0.175,0.825,,,,0.0
Pooled-Income-Quantile,0,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,5,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,10,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,15,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,20,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
