summary,spearman_rho,p_value,subsample
resid_q25,0.4060433011052748,0.006900210897054198,90
resid_q75,0.30110650913587134,0.049750003622188094,90
resid_sd,0.25628502223407706,0.09713840423067159,90
resid_mean,0.38764529212362614,0.010218310196794637,91
resid_median,0.39544362514876946,0.008674370012202302,91
resid_q25,0.49273350803526544,0.0007887491979829188,91
resid_q75,0.3748499690047018,0.013261468300149069,91
resid_sd,-0.012038203407745422,0.9389287461300984,91
resid_mean,0.2587835172809676,0.09381029931372606,92
resid_median,0.25000092863129175,0.10591074004244302,92
resid_q25,0.43367817056330676,0.0036693447256201483,92
resid_q75,0.29255105639954915,0.056944089289248934,92
resid_sd,0.2513637441114138,0.10395875501101481,92
resid_mean,0.1687619836217896,0.27933285098138755,93
resid_median,0.22812016897821985,0.14121462127160367,93
resid_q25,0.2642347792014561,0.08685505307651593,93
resid_q75,0.26370479540363084,0.08751313144350757,93
resid_sd,0.20661796918073747,0.18373021849921317,93
resid_mean,0.3176874308106905,0.03789874972919694,94
resid_median,0.3447166044997793,0.023590689819750144,94
resid_q25,0.3792412633295397,0.012140102657316715,94
resid_q75,0.32957421027620015,0.030913898842710955,94
resid_sd,0.24447395473968533,0.11411507321207849,94
resid_mean,0.3351768961389244,0.028011425762023204,95
resid_median,0.39604932091771256,0.008563339523098717,95
resid_q25,0.4134630742748286,0.0058535092943358845,95
resid_q75,0.3339655046010381,0.028619026214100084,95
resid_sd,0.16368928155689058,0.29424812759237967,95
resid_mean,0.30973767384331147,0.043254411770624696,96
resid_median,0.3849196611633819,0.010810798815904344,96
resid_q25,0.41793008057078446,0.005292224640384926,96
resid_q75,0.295503823273147,0.05437256515001426,96
resid_sd,0.2568150060319023,0.09642495673319787,96
resid_mean,0.3193530941752842,0.03684847356522683,97
resid_median,0.302090764760404,0.04897170503934693,97
resid_q25,0.3999106314447253,0.007883861836889735,97
resid_q75,0.2557550384362518,0.09785590820544732,97
resid_sd,0.14794119156436827,0.34376500711080266,97
resid_mean,0.36735448386403013,0.015379256200568304,98
resid_median,0.36962584299756696,0.014709193727807327,98
resid_q25,0.43375388253442465,0.0036627370576191526,98
resid_q75,0.3762884964559418,0.01288479705472385,98
resid_sd,0.2199432760974871,0.15642830396742122,98
resid_mean,0.4006677511559042,0.007756228525386144,99
resid_median,0.4015005828382011,0.007617894093641288,99
resid_q25,0.48046816871416625,0.0011104745920004547,99
resid_q75,0.3067849069697135,0.04539407795125593,99
resid_sd,0.06503658319027245,0.6786209969730411,99
resid_mean,0.1557395245895115,0.31863785505789205,100
resid_median,0.23016439219840304,0.13758839261495606,100
resid_q25,0.36629451626837956,0.015700696086673457,100
resid_q75,0.1335559170519681,0.39320900176571844,100
resid_sd,0.20578513749844057,0.18554272336347286,100
resid_mean,0.2583292454542602,0.09440876730440749,101
resid_median,0.30186362884705026,0.04915043333178785,101
resid_q25,0.4059675891341569,0.0069116753488960205,101
resid_q75,0.19548830942640677,0.20901034011426267,101
resid_sd,0.18428293770095822,0.23681714038844373,101
resid_mean,0.4024848384627337,0.007457157199544042,102
resid_median,0.46184302381916403,0.0018233608733696312,102
resid_q25,0.506891646634312,0.0005229023040258412,102
resid_q75,0.40589187716303904,0.006923156267190804,102
resid_sd,0.22274461902884923,0.15108712893654225,102
resid_mean,0.3345712003699813,0.028313874167758057,103
resid_median,0.3887052597192767,0.009995531942021454,103
resid_q25,0.38756958015250825,0.010234384456185462,103
resid_q75,0.2954014078000155,0.054460168078658,103
resid_sd,0.111826581341132,0.4752693051157768,103
resid_mean,0.2705945847753593,0.07925467448281079,104
resid_median,0.3818677432370571,0.011508864874868295,104
resid_q25,0.45707316963873657,0.0020611980727060285,104
resid_q75,0.2782414938582668,0.07081689020219052,104
resid_sd,0.09569993149302021,0.5415583360470874,104
resid_mean,0.34365663690412873,0.024051112992536847,105
resid_median,0.3566790959364068,0.01888540121333203,105
resid_q25,0.4159615693217191,0.005533524188283456,105
resid_q75,0.2003338755779521,0.1977213317680894,105
resid_sd,0.12053345801969001,0.44135117593568685,105
resid_mean,0.2660518665082856,0.08462794815590946,106
resid_median,0.3871153083258008,0.010331285727790282,106
resid_q25,0.4018034307226726,0.007568121193176065,106
resid_q75,0.2484866892089338,0.10811230074558287,106
resid_sd,0.024379254699962428,0.8766812712471267,106
resid_mean,0.32382010047124005,0.03414913178118028,107
resid_median,0.377575599964946,0.01255553699715621,107
resid_q25,0.45086478800706914,0.0024115626385373626,107
resid_q75,0.26665756227722875,0.08389554793810373,107
