yoep_min,min_income,trim2,min_puma_size,n_rows,n_pumas_eligible,median_n,min_n,max_abs_rho,mean_abs_rho,n_sig,rho_ba,p_ba
2002,10000,0.0,30,9536,129,46.0,30,0.31718761166953663,0.1613273671438253,3,0.23002905982781646,0.008729672309570445
2004,10000,0.0,31,8019,99,45.0,31,0.3256652555726799,0.19451219666220174,4,0.3175292176336042,0.001362130102795895
2003,0,0.02,30,9056,125,45.0,30,0.3317589733339345,0.16073880452529427,4,0.186236598177794,0.03757145156264192
2004,0,0.02,30,8256,109,45.0,30,0.33590507650319207,0.1615616752500943,3,0.22331778021987436,0.019585972311491347
2010,10000,0.02,31,4178,31,38.0,31,0.33599415360930407,0.16597472293671808,0,0.33599415360930407,0.06460256956499329
2003,0,0.0,31,9204,122,46.0,31,0.33765418744638026,0.16422940820705906,3,0.22406793190327776,0.013099047407728678
2003,0,0.02,31,9056,120,46.0,31,0.34007487769330175,0.16288282150439612,3,0.21226124223660794,0.019941055778900058
2002,10000,0.02,31,9381,122,47.0,31,0.34075561303672075,0.17668174350413654,4,0.2238536035069896,0.013188816217430233
2005,0,0.02,30,7601,91,44.0,30,0.34700022951323467,0.19712993637211323,4,0.34700022951323467,0.0007523385040993201
2005,10000,0.0,30,7376,83,45.0,30,0.3480013263608552,0.19733396591536015,4,0.3480013263608552,0.001265199829501987
2003,0,0.0,30,9204,126,45.5,30,0.3491441801852509,0.16968532515051424,3,0.2116886075376322,0.01733378002262937
2005,10000,0.02,30,7259,82,44.0,30,0.3509544773457415,0.19475369499729095,4,0.3509544773457415,0.0012261689159364802
2004,0,0.0,31,8389,105,46.0,31,0.35156549393131253,0.17977627470243782,3,0.288147433058687,0.00287514516609217
2004,0,0.02,31,8256,104,46.0,31,0.3540594302227016,0.1791053068139016,3,0.28116122886499834,0.00383772857171196
2004,0,0.0,30,8389,109,46.0,30,0.3564749586145175,0.17651220843576335,3,0.25828359557782693,0.006695047482550401
2002,10000,0.0,31,9536,124,47.5,31,0.3566755199613321,0.17685641185909318,3,0.2383135633865996,0.007689952866201936
2003,10000,0.02,30,8663,120,44.0,30,0.36177114203894734,0.1769842539929433,3,0.2193833750066042,0.01606323882344283
2005,0,0.0,30,7724,92,44.5,30,0.3632824236026261,0.21839449444295347,4,0.3632824236026261,0.0003719070275560793
2003,10000,0.0,30,8805,122,44.0,30,0.36527160061079206,0.17926695993411365,3,0.23077195128505093,0.010547736356436353
2005,10000,0.0,31,7376,80,45.0,31,0.36545423155172435,0.21054858604619922,4,0.36545423155172435,0.0008579926365722498
2010,0,0.02,31,4409,33,40.0,31,0.36671949133380577,0.20515850236373448,1,0.36671949133380577,0.03580162853633977
2004,10000,0.02,31,7892,96,45.0,31,0.36708538726367884,0.20863459079360322,4,0.346957357011142,0.0005338362920952758
2010,10000,0.02,30,4178,34,38.0,30,0.3679660887534611,0.16990336312663226,1,0.3679660887534611,0.03226605510324352
2004,10000,0.0,30,8019,102,44.5,30,0.3682198206174371,0.19960020170630363,4,0.3422599847191168,0.0004298890577449654
2004,10000,0.02,30,7892,101,45.0,30,0.36955224928382296,0.1943180418255455,4,0.33204123210375225,0.0006933000921102916
2005,0,0.02,31,7601,87,45.0,31,0.3717964144516438,0.2015415012647296,4,0.3717964144516438,0.00039152857483689416
2005,0,0.0,31,7724,89,45.0,31,0.37570597254552485,0.21506768931728443,4,0.37570597254552485,0.00028543819564442286
2003,10000,0.02,31,8663,113,45.0,31,0.3843574611951777,0.2004404221760129,4,0.2512635681365174,0.007264255262526975
2003,10000,0.0,31,8805,115,46.0,31,0.3902679710906092,0.19637407544404173,4,0.2614117240695214,0.004773291208114926
2005,10000,0.02,31,7259,78,45.5,31,0.39050577099694644,0.21759082179201364,4,0.39050577099694644,0.00040836771364032313
2006,0,0.0,30,6941,74,44.5,30,0.4054388914038901,0.21739958664909992,2,0.4054388914038901,0.00033896493300186227
2010,10000,0.0,30,4244,34,38.5,30,0.4206303499928349,0.21519276814099003,1,0.4206303499928349,0.013246875694528785
2006,0,0.02,30,6833,73,45.0,30,0.426855638141994,0.21562877603688355,2,0.426855638141994,0.0001658862970990949
2010,10000,0.0,31,4244,32,39.0,31,0.4295703746625213,0.2002513625680118,1,0.4295703746625213,0.014141881174763428
2010,0,0.02,30,4409,38,38.5,30,0.4353677073931192,0.19817706986001277,1,0.4353677073931192,0.006297154350223212
2011,10000,0.02,31,3669,21,38.0,31,0.44024862007335164,0.20893807119768867,1,0.44024862007335164,0.04579419238757236
2010,0,0.0,31,4476,34,40.0,31,0.4478621516807796,0.21280001951281438,2,0.4478621516807796,0.00790504401304072
