puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,prop_cow_1.0,prop_cow_2.0,prop_cow_3.0,prop_cow_4.0,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_cow_6.0,prop_educ_HS,prop_cow_5.0,prop_cow_7.0,prop_cow_8.0
3758,31,37.193548387096776,8.627163901842096,42.58064516129032,6.152366447410769,3.4193548387096775,1.857851690320249,1455.3870967741937,664.8344494393249,0.1935483870967742,0.7419354838709677,0.0967741935483871,0.3548387096774194,2.129032258064516,0.7741935483870968,0.06451612903225806,0.03225806451612903,,-11467.436293000586,33099.83240181358,-30421.3932923712,-16988.3638229699,1414.5402855071588,0.12903225806451613,0.06451612903225806,0.41935483870967744,,0.06451612903225806,
3761,26,38.61538461538461,6.400480751174387,41.46153846153846,4.536348921595597,3.076923076923077,1.3834182859302364,1530.5384615384614,506.00389174544745,0.3076923076923077,0.8076923076923077,0.7307692307692307,0.11538461538461539,1.8076923076923077,1.0,,,,-19454.054741415523,42054.68291410683,-42366.15253569482,-14389.061125118984,688.7121096296469,0.038461538461538464,,0.11538461538461539,,,
5903,22,38.40909090909091,8.48336799081193,42.04545454545455,3.9937722081030667,2.8181818181818183,1.6223546566748692,1543.9545454545455,661.7140424881236,0.18181818181818182,0.9090909090909091,0.9090909090909091,0.045454545454545456,1.5454545454545454,0.9545454545454546,,,,-22831.96865401033,43322.875631584386,-55779.82533458613,-25736.770817984827,1873.2382577061362,,0.045454545454545456,0.045454545454545456,,,
5904,54,36.96296296296296,7.155847227671382,43.611111111111114,7.54962617259371,3.111111111111111,1.7119630866531244,1416.5185185185185,544.5286256744414,0.3333333333333333,0.7777777777777778,0.9259259259259259,0.05555555555555555,1.4814814814814814,0.8518518518518519,0.05555555555555555,0.018518518518518517,0.05555555555555555,-6839.2972772453495,43919.73590220513,-38346.36544988053,-12036.363787235969,23272.19337374842,0.018518518518518517,0.018518518518518517,,,,
5905,25,39.28,8.218475122146039,43.36,8.16945530620004,3.48,2.219609575278199,1607.76,661.7304511657296,0.48,0.8,0.52,0.2,1.8,0.8,0.08,,,-16235.146582567892,42712.138696897106,-48333.718086039764,-19211.526635298622,3862.6759464469505,0.12,0.08,0.16,,0.04,
7311,22,36.36363636363637,7.0814677960989245,42.59090909090909,6.83589330149595,2.6363636363636362,1.5597757636597747,1370.1818181818182,527.7923145260144,0.3181818181818182,0.5909090909090909,0.6818181818181818,0.13636363636363635,1.8181818181818181,0.7727272727272727,0.045454545454545456,,0.09090909090909091,-11812.720314016846,39316.69150172904,-29290.41190885906,-4450.105413111669,5314.762735715107,0.09090909090909091,,0.09090909090909091,,0.09090909090909091,
7312,34,34.3235294117647,7.518545105212094,44.73529411764706,11.037975285156328,3.176470588235294,2.0071174602171977,1232.9705882352941,563.1309920970871,0.35294117647058826,0.5882352941176471,0.8823529411764706,0.08823529411764706,1.3235294117647058,0.6764705882352942,0.14705882352941177,,0.11764705882352941,-14982.32925965795,34520.172010212256,-24866.600862561885,-16442.897005567967,-488.5984286588573,,,0.029411764705882353,0.058823529411764705,,
7503,22,33.54545454545455,6.871107713616576,43.40909090909091,7.774556125189589,2.5454545454545454,1.792239161529848,1170.3636363636363,503.6974285889293,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.18181818181818182,1.5909090909090908,0.9090909090909091,,0.045454545454545456,,11599.924455653521,53091.939612022674,-18682.455321133413,4753.157738571608,40292.805052660435,0.09090909090909091,0.045454545454545456,0.09090909090909091,,,
8103,27,33.74074074074074,7.101422352613554,42.592592592592595,4.749568881320131,2.962962962962963,1.8704479406215768,1187.0,540.7838328261615,0.5925925925925926,0.4444444444444444,0.7407407407407407,0.2222222222222222,1.5555555555555556,0.8518518518518519,0.1111111111111111,0.037037037037037035,,1017.1050538489081,41477.05774585214,-23503.628613362613,-3690.668894996168,33523.95508990467,,,0.037037037037037035,,,
8104,36,33.69444444444444,6.27384340823957,43.52777777777778,7.74775953277964,2.6944444444444446,1.5272654263551186,1173.5833333333333,451.1578358591845,0.4166666666666667,0.6944444444444444,0.8333333333333334,0.08333333333333333,1.3611111111111112,0.9166666666666666,,,,15706.079923032634,49199.8355562496,-19977.582413962184,11337.634784481284,47107.78989352195,,0.05555555555555555,0.08333333333333333,,0.027777777777777776,
