dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
fixedN21,0.05,0.95,30,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,2,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,24,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,35,24,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,2,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,2,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,0,24,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,5,22,,0.0,0.0,,1.0,0,50,456
