method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n,alpha,nominal_coverage,coverage_se_plot,source
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.125,0.875,0.0132051126462442,permuted_rows
Std-CP,10,0.791,0.4067978422810087,0.0128576436410409,145677.50178585213,186373.4665312916,139453.72218214226,1000,0.125,0.875,0.0128576436410409,permuted_rows
Std-CP,15,0.861,0.3461196307619647,0.0109397897603198,180639.4616603097,243218.8206895115,180300.19432244336,1000,0.125,0.875,0.0109397897603198,permuted_rows
Std-CP,20,0.853,0.3542831022170216,0.0111978122863352,169361.64653097614,218724.29082613855,154941.18234937315,1000,0.125,0.875,0.0111978122863352,permuted_rows
Subsampling,0,0.904,0.2947386484173239,0.0093157930419261,253810.83990833376,308768.9409162631,222371.56932276444,1000,0.125,0.875,0.0093157930419261,permuted_rows
Donor-HCP,0,0.99,0.0995485304256668,0.0031464265445104,529497.8422633561,538535.7404151673,269136.025482406,1000,0.1,0.9,0.0031464265445104,permuted_rows
Donor-HCP,5,0.967,0.1787258877245905,0.0056489822092125,389555.631330066,430712.1769628351,227423.0247235316,1000,0.1,0.9,0.0056489822092125,permuted_rows
Donor-HCP,10,0.946,0.2261307920985886,0.0071473071852271,298057.89218787523,324985.52871155285,169540.48466792423,1000,0.1,0.9,0.0071473071852271,permuted_rows
Donor-HCP,15,0.92,0.2714289477444763,0.0085790442358108,233887.94135152345,254149.8363211549,126241.37062607858,1000,0.1,0.9,0.0085790442358108,permuted_rows
Donor-HCP,20,0.889,0.3142893217686178,0.0099337304171192,200400.88047613655,213601.83730069024,102538.54452175458,1000,0.1,0.9,0.0099337304171192,permuted_rows
HCP,0,0.979,0.1434558454005258,0.0045342033478881,491994.76881921856,505720.1260889543,249674.55758339513,1000,0.1,0.9,0.0045342033478881,permuted_rows
Pooled-Income-Quantile,0,0.88,0.3251241389157466,0.0102761860629321,176965.0,176965.0,0.0,1000,0.1,0.9,0.0102761860629321,permuted_rows
Pooled-Income-Quantile,5,0.88,0.3251241389157466,0.0102761860629321,176965.0,176965.0,0.0,1000,0.1,0.9,0.0102761860629321,permuted_rows
Pooled-Income-Quantile,10,0.88,0.3251241389157466,0.0102761860629321,176965.0,176965.0,0.0,1000,0.1,0.9,0.0102761860629321,permuted_rows
Pooled-Income-Quantile,15,0.88,0.3251241389157466,0.0102761860629321,176965.0,176965.0,0.0,1000,0.1,0.9,0.0102761860629321,permuted_rows
Pooled-Income-Quantile,20,0.88,0.3251241389157466,0.0102761860629321,176965.0,176965.0,0.0,1000,0.1,0.9,0.0102761860629321,permuted_rows
Pooling,0,0.88,0.3251241389157466,0.0102761860629321,214466.83621458983,217348.88173850643,102218.36733893948,1000,0.1,0.9,0.0102761860629321,permuted_rows
Repeated,0,0.92,0.2714289477444763,0.0085790442358108,270556.62080792966,275852.57575191295,131313.77615910137,1000,0.1,0.9,0.0085790442358108,permuted_rows
S-HCP,0,0.902,0.2974634170523906,0.0094019146986132,235530.0948143531,292304.1141668816,214934.62529116948,1000,0.1,0.9,0.0094019146986132,permuted_rows
S-HCP,5,1.0,0.0,0.0,,,,1000,0.1,0.9,0.0,permuted_rows
S-HCP,10,1.0,0.0,0.0,,,,1000,0.1,0.9,0.0,permuted_rows
S-HCP,15,1.0,0.0,0.0,,,,1000,0.1,0.9,0.0,permuted_rows
S-HCP,20,1.0,0.0,0.0,,,,1000,0.1,0.9,0.0,permuted_rows
Std-CP,0,1.0,0.0,0.0,,,,1000,0.1,0.9,0.0,permuted_rows
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.1,0.9,0.0132051126462442,permuted_rows
Std-CP,10,0.907,0.290577761426155,0.009184280047995,221753.96208609408,321544.9190705471,289322.2373454033,1000,0.1,0.9,0.009184280047995,permuted_rows
Std-CP,15,0.861,0.3461196307619647,0.0109397897603198,180639.4616603097,243218.8206895115,180300.19432244336,1000,0.1,0.9,0.0109397897603198,permuted_rows
Std-CP,20,0.907,0.290577761426155,0.009184280047995,203766.77331818655,289892.2158307926,216029.51315721165,1000,0.1,0.9,0.009184280047995,permuted_rows
Subsampling,0,0.902,0.2974634170523906,0.0094019146986132,237801.3235340765,291584.03924579103,208199.0663608439,1000,0.1,0.9,0.0094019146986132,permuted_rows
Donor-HCP,0,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
Donor-HCP,5,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
Donor-HCP,10,0.986,0.1175492144500243,0.0037153734670958,583774.3955360032,654929.9492029402,375408.0240708516,1000,0.075,0.925,0.0037153734670958,permuted_rows
Donor-HCP,15,0.954,0.2095899041650812,0.0066244999811306,319866.9132897327,349358.95326179307,185262.48949595596,1000,0.075,0.925,0.0066244999811306,permuted_rows
Donor-HCP,20,0.92,0.2714289477444763,0.0085790442358108,232507.4112835588,256010.16259126065,130003.67279813478,1000,0.075,0.925,0.0085790442358108,permuted_rows
HCP,0,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
Pooled-Income-Quantile,0,0.91,0.2863249587129665,0.009049861877399,198000.0,198000.0,0.0,1000,0.075,0.925,0.009049861877399,permuted_rows
Pooled-Income-Quantile,5,0.91,0.2863249587129665,0.009049861877399,198000.0,198000.0,0.0,1000,0.075,0.925,0.009049861877399,permuted_rows
Pooled-Income-Quantile,10,0.91,0.2863249587129665,0.009049861877399,198000.0,198000.0,0.0,1000,0.075,0.925,0.009049861877399,permuted_rows
Pooled-Income-Quantile,15,0.91,0.2863249587129665,0.009049861877399,198000.0,198000.0,0.0,1000,0.075,0.925,0.009049861877399,permuted_rows
Pooled-Income-Quantile,20,0.91,0.2863249587129665,0.009049861877399,198000.0,198000.0,0.0,1000,0.075,0.925,0.009049861877399,permuted_rows
Pooling,0,0.902,0.2974634170523906,0.0094019146986132,244450.90025241533,249540.2342870646,118249.30375255304,1000,0.075,0.925,0.0094019146986132,permuted_rows
Repeated,0,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
S-HCP,0,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
S-HCP,5,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
S-HCP,10,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
S-HCP,15,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
S-HCP,20,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
Std-CP,0,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.075,0.925,0.0132051126462442,permuted_rows
Std-CP,10,0.907,0.290577761426155,0.009184280047995,221753.96208609408,321544.9190705471,289322.2373454033,1000,0.075,0.925,0.009184280047995,permuted_rows
Std-CP,15,0.861,0.3461196307619647,0.0109397897603198,180639.4616603097,243218.8206895115,180300.19432244336,1000,0.075,0.925,0.0109397897603198,permuted_rows
Std-CP,20,0.907,0.290577761426155,0.009184280047995,203766.77331818655,289892.2158307926,216029.51315721165,1000,0.075,0.925,0.009184280047995,permuted_rows
