alpha,experiment,o,method,coverage,width,n_infinite,n_total,proportion_infinite
0.2,6,35,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,35,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,35,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,35,stdcp,0.85,3.8737583439433276,0,1,0.0
0.2,6,35,sub,0.82,22.182756533412242,0,1,0.0
0.2,7,0,dhcp_with,0.77,21.227894668974855,0,1,0.0
0.2,7,0,dhcp_without,0.77,21.227894668974855,0,1,0.0
0.2,7,0,hcp,0.77,21.227894668974855,0,1,0.0
0.2,7,0,pool,0.73,17.496850791179952,0,1,0.0
0.2,7,0,rep,0.76,19.334259597868616,0,1,0.0
0.2,7,0,stdcp,1.0,inf,1,1,1.0
0.2,7,0,sub,0.75,18.97923305811131,0,1,0.0
0.2,7,5,dhcp_with,0.77,20.4052390047789,0,1,0.0
0.2,7,5,dhcp_without,0.77,20.4052390047789,0,1,0.0
0.2,7,5,hcp,0.77,21.227894668974855,0,1,0.0
0.2,7,5,pool,0.73,17.496850791179952,0,1,0.0
0.2,7,5,rep,0.76,19.334259597868616,0,1,0.0
0.2,7,5,stdcp,0.79,4.759821739044387,0,1,0.0
0.2,7,5,sub,0.75,18.97923305811131,0,1,0.0
0.2,7,10,dhcp_with,0.76,19.67130483684226,0,1,0.0
0.2,7,10,dhcp_without,0.76,19.67130483684226,0,1,0.0
0.2,7,10,hcp,0.77,21.227894668974855,0,1,0.0
0.2,7,10,pool,0.73,17.496850791179952,0,1,0.0
0.2,7,10,rep,0.76,19.334259597868616,0,1,0.0
0.2,7,10,stdcp,0.88,9.163240080880508,0,1,0.0
0.2,7,10,sub,0.75,18.97923305811131,0,1,0.0
0.2,7,15,dhcp_with,0.75,18.97923305811131,0,1,0.0
0.2,7,15,dhcp_without,0.75,18.97923305811131,0,1,0.0
0.2,7,15,hcp,0.77,21.227894668974855,0,1,0.0
0.2,7,15,pool,0.73,17.496850791179952,0,1,0.0
0.2,7,15,rep,0.76,19.334259597868616,0,1,0.0
0.2,7,15,stdcp,0.94,6.510473853639064,0,1,0.0
0.2,7,15,sub,0.75,18.97923305811131,0,1,0.0
0.2,7,20,dhcp_with,0.75,17.496850791179952,0,1,0.0
0.2,7,20,dhcp_without,0.75,17.496850791179952,0,1,0.0
0.2,7,20,hcp,0.77,21.227894668974855,0,1,0.0
0.2,7,20,pool,0.73,17.496850791179952,0,1,0.0
0.2,7,20,rep,0.76,19.334259597868616,0,1,0.0
0.2,7,20,stdcp,0.79,4.095286241506569,0,1,0.0
