alpha,dataset_id,o,mean_width,sd_upper,sd_width,rel_sd_upper,rel_sd_width
0.2,21,0,20.480910235611354,4.862799791646988,5.556924205226926,0.2374308434393582,0.2713221307695972
0.2,21,5,18.350666118187437,3.4945776582190407,3.960732033432172,0.19043328649282912,0.2158358725467012
0.2,21,10,16.587221750649643,4.497706940632383,4.961856950286391,0.27115492927296453,0.2991373133413411
0.2,21,15,16.504791757348467,3.588027509267922,4.1327989529020055,0.21739307965945198,0.2503999452802517
0.2,21,20,14.534053343909479,3.5512707316022816,3.2634195006458753,0.24434138554269502,0.22453608937753192
0.2,21,25,2.793159809766181,1.785305796991587e-15,1.3389793477436902e-15,6.391706592473981e-16,4.793779944355486e-16
0.2,21,30,2.331124399229477,8.926528984957934e-16,0.0,3.8292804055881713e-16,0.0
0.2,21,35,2.6441772889915836,8.926528984957934e-16,4.463264492478967e-16,3.375919240408523e-16,1.6879596202042615e-16
0.2,23,0,20.190952777666304,5.685508316756767,6.8882813540968755,0.2815869255583443,0.34115682553208526
0.2,23,5,17.142559894772468,5.091926899071297,4.598916340392353,0.2970342195289079,0.26827477159900537
0.2,23,10,17.804601956224268,5.711137270424203,6.144298596128284,0.32076747823209045,0.3450960943263499
0.2,23,15,14.95668126796559,4.522726864556839,6.388237633278831,0.3023883964314779,0.42711598374174353
0.2,23,20,13.374655704165717,3.562152667317927,4.8355214296278035,0.266336027342255,0.36154361925905243
0.2,23,25,2.8605280937646116,3.570611593983174e-15,8.926528984957934e-16,1.2482351079740851e-15,3.120587769935213e-16
0.2,23,30,2.629901049964186,5.355917390974761e-15,0.0,2.036547113073968e-15,0.0
0.2,23,35,3.3178703281107538,3.570611593983174e-15,0.0,1.0761757515750577e-15,0.0
0.2,22,0,29.91099700724503,10.938567693704442,14.087452332662565,0.36570388111953966,0.470979029192852
0.2,22,5,25.471799142200254,8.269108570795598,10.639322225692727,0.3246377896053601,0.4176902529066387
0.2,22,10,21.845722924238586,6.387569603099503,7.971567497500762,0.29239451700690905,0.3649028931267837
0.2,22,15,18.44042742109808,5.354014568845995,5.670034346259449,0.29034113182866655,0.30747846656592376
0.2,22,20,16.291127811374384,4.308913741805188,4.761998973560143,0.26449450226501364,0.2923062803690816
0.2,22,25,2.600373657485615,8.926528984957934e-16,4.463264492478967e-16,3.432787037840278e-16,1.716393518920139e-16
0.2,22,30,2.698191126321624,8.926528984957934e-16,8.926528984957934e-16,3.308338278143864e-16,3.308338278143864e-16
0.2,22,35,2.5954084403022493,0.0,4.463264492478967e-16,0.0,1.7196771125392486e-16
