Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference,test_sample_size_o
donor-HCP-derandomized,0.9381999999999999,0.02818959136320512,2.1967239865445203,0.2550866401039769,0,0.0,0.8,0.13819999999999988,30
sample-HCP-randomized,0.7911999999999999,0.056699710253731835,1.450640637046099,0.11974640735130286,0,0.0,0.8,-0.008800000000000141,30
sample-HCP-derandomized,0.9012,0.037505917900393,1.908048543445911,0.13866506157510528,0,0.0,0.8,0.10119999999999996,30
Std-CP,0.799,0.03704657851397126,1.6657869261468277,0.09183904322483245,0,0.0,0.8,-0.0010000000000000009,30
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,30
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,30
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,30
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,30
donor-HCP-randomized,0.8407999999999999,0.048774365967280436,1.5957914922933791,0.14377885905521848,0,0.0,0.8,0.040799999999999836,35
donor-HCP-derandomized,0.9303999999999999,0.031620195045158665,2.1213750122545023,0.24475506482205142,0,0.0,0.8,0.13039999999999985,35
sample-HCP-randomized,0.7947999999999997,0.055337185342522195,1.4549731707068978,0.12042806827303702,0,0.0,0.8,-0.0052000000000003155,35
sample-HCP-derandomized,0.8996,0.03806331996201346,1.904844009850812,0.13914111919965128,0,0.0,0.8,0.09959999999999991,35
Std-CP,0.8351999999999999,0.04101965681106996,1.7427894882344426,0.08170197345678297,0,0.0,0.8,0.0351999999999999,35
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,35
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,35
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,35
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,35
donor-HCP-randomized,0.8301999999999998,0.05304945709391552,1.538864272417007,0.14375151082422397,0,0.0,0.8,0.030199999999999783,40
donor-HCP-derandomized,0.9228000000000002,0.03499504338080593,2.047155659002687,0.24003608277718066,0,0.0,0.8,0.12280000000000013,40
sample-HCP-randomized,0.7918000000000001,0.05557455004086761,1.4555882579679822,0.11573078691227068,0,0.0,0.8,-0.008199999999999985,40
sample-HCP-derandomized,0.9002,0.03683886590024626,1.908048543445911,0.13795744035182694,0,0.0,0.8,0.10019999999999996,40
Std-CP,0.8046,0.03918610749242851,1.5933926420963103,0.072958207354919,0,0.0,0.8,0.0045999999999999375,40
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,40
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,40
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,40
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,40
