dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,HCP,10,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,10,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,10,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,10,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,15,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,15,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,15,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,15,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,15,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,15,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,15,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,15,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,15,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,20,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,20,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,20,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,20,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,20,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,20,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,20,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,20,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,20,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,25,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,25,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,25,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,25,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,25,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,25,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,25,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,25,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,25,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,30,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,30,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,30,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,30,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,30,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,30,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,30,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,30,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,35,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,35,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,35,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,35,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,35,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,35,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,35,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,35,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.25,0.75,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.225,0.775,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.175,0.825,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.125,0.875,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,5,0.25,0.75,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.225,0.775,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.2,0.8,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.175,0.825,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.15,0.85,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.125,0.875,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.1,0.9,0.761,0.01348625225924534,0.42668613881993056,1000.0
fixedN21,Std-CP,5,0.075,0.925,0.753,0.013637851736985557,0.4314825340348983,1000.0
fixedN21,Std-CP,5,0.05,0.95,0.761,0.01348625225924534,0.42668613881993056,1000.0
fixedN21,Std-CP,10,0.25,0.75,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.225,0.775,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.2,0.8,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.175,0.825,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.15,0.85,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.125,0.875,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.1,0.9,0.824,0.012042591083317579,0.3810107205436209,1000.0
fixedN21,Std-CP,10,0.075,0.925,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,Std-CP,10,0.05,0.95,0.824,0.012042591083317579,0.3810107205436209,1000.0
fixedN21,Std-CP,15,0.25,0.75,0.772,0.013267102170406315,0.4197525368502163,1000.0
fixedN21,Std-CP,15,0.225,0.775,0.772,0.013267102170406315,0.4197525368502163,1000.0
fixedN21,Std-CP,15,0.2,0.8,0.892,0.009815090422405694,0.3105357184486713,1000.0
fixedN21,Std-CP,15,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
fixedN21,Std-CP,15,0.15,0.85,0.892,0.009815090422405694,0.3105357184486713,1000.0
fixedN21,Std-CP,15,0.125,0.875,0.892,0.009815090422405694,0.3105357184486713,1000.0
fixedN21,Std-CP,15,0.1,0.9,0.896,0.009653186002558947,0.305413289293831,1000.0
fixedN21,Std-CP,15,0.075,0.925,0.892,0.009815090422405694,0.3105357184486713,1000.0
fixedN21,Std-CP,15,0.05,0.95,0.896,0.009653186002558947,0.305413289293831,1000.0
fixedN21,Std-CP,20,0.25,0.75,0.823,0.012069424178476786,0.3818596821043258,1000.0
fixedN21,Std-CP,20,0.225,0.775,0.823,0.012069424178476786,0.3818596821043258,1000.0
fixedN21,Std-CP,20,0.2,0.8,0.823,0.012069424178476786,0.3818596821043258,1000.0
fixedN21,Std-CP,20,0.175,0.825,0.911,0.009004387819280108,0.2848862231842041,1000.0
fixedN21,Std-CP,20,0.15,0.85,0.911,0.009004387819280108,0.2848862231842041,1000.0
fixedN21,Std-CP,20,0.125,0.875,0.911,0.009004387819280108,0.2848862231842041,1000.0
fixedN21,Std-CP,20,0.1,0.9,0.906,0.009228434320078352,0.29197474077263813,1000.0
fixedN21,Std-CP,20,0.075,0.925,0.911,0.009004387819280108,0.2848862231842041,1000.0
fixedN21,Std-CP,20,0.05,0.95,0.906,0.009228434320078352,0.29197474077263813,1000.0
fixedN21,Std-CP,25,0.25,0.75,0.787,0.012947239087929132,0.409632516774241,1000.0
fixedN21,Std-CP,25,0.225,0.775,0.787,0.012947239087929132,0.409632516774241,1000.0
fixedN21,Std-CP,25,0.2,0.8,0.864,0.010839926199010766,0.3429600875052688,1000.0
fixedN21,Std-CP,25,0.175,0.825,0.864,0.010839926199010766,0.3429600875052688,1000.0
fixedN21,Std-CP,25,0.15,0.85,0.864,0.010839926199010766,0.3429600875052688,1000.0
fixedN21,Std-CP,25,0.125,0.875,0.925,0.00832916562447884,0.26352313834736496,1000.0
fixedN21,Std-CP,25,0.1,0.9,0.937,0.007683163410991592,0.24308453280719053,1000.0
fixedN21,Std-CP,25,0.075,0.925,0.925,0.00832916562447884,0.26352313834736496,1000.0
fixedN21,Std-CP,25,0.05,0.95,0.937,0.007683163410991592,0.24308453280719053,1000.0
fixedN21,Std-CP,30,0.25,0.75,0.743,0.013818502089589886,0.4371980582552285,1000.0
fixedN21,Std-CP,30,0.225,0.775,0.816,0.012253326079069309,0.387678080750375,1000.0
fixedN21,Std-CP,30,0.2,0.8,0.816,0.012253326079069309,0.387678080750375,1000.0
fixedN21,Std-CP,30,0.175,0.825,0.876,0.010422283818818216,0.3297464673544399,1000.0
fixedN21,Std-CP,30,0.15,0.85,0.876,0.010422283818818216,0.3297464673544399,1000.0
fixedN21,Std-CP,30,0.125,0.875,0.876,0.010422283818818216,0.3297464673544399,1000.0
fixedN21,Std-CP,30,0.1,0.9,0.932,0.00796090447122687,0.2518718710762268,1000.0
fixedN21,Std-CP,30,0.075,0.925,0.938,0.00762600813007697,0.24127621974453717,1000.0
fixedN21,Std-CP,30,0.05,0.95,0.932,0.00796090447122687,0.2518718710762268,1000.0
fixedN21,Std-CP,35,0.25,0.75,0.787,0.012947239087929132,0.409632516774241,1000.0
fixedN21,Std-CP,35,0.225,0.775,0.787,0.012947239087929132,0.409632516774241,1000.0
fixedN21,Std-CP,35,0.2,0.8,0.845,0.011444430960078356,0.36208577175319395,1000.0
fixedN21,Std-CP,35,0.175,0.825,0.845,0.011444430960078356,0.36208577175319395,1000.0
fixedN21,Std-CP,35,0.15,0.85,0.903,0.009359006357514668,0.296105857217784,1000.0
fixedN21,Std-CP,35,0.125,0.875,0.903,0.009359006357514668,0.296105857217784,1000.0
fixedN21,Std-CP,35,0.1,0.9,0.941,0.007451107300260817,0.2357426023750789,1000.0
fixedN21,Std-CP,35,0.075,0.925,0.958,0.006343185319695463,0.20068950215762724,1000.0
fixedN21,Std-CP,35,0.05,0.95,0.941,0.007451107300260817,0.2357426023750789,1000.0
