test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
FL,25,96,HCP.sample,1,1.4893062821488137,0,10.872404311578206,12.36171059372702,11.461642696843066,11.331762671673657,25,788,118
FL,25,96,HCP,1,2.2537646510347678,0,10.48777139149738,12.741536042532148,11.461642696843066,11.614653717014765,25,788,118
FL,25,96,Pooling,1,1.9912474819854324,0,10.619029976022048,12.61027745800748,11.461642696843066,11.614653717014765,25,788,118
FL,25,96,Subsampling,1,2.2537646510347678,0,10.48777139149738,12.741536042532148,11.461642696843066,11.614653717014765,25,788,118
FL,25,96,Repeated,1,2.2537646510347678,0,10.48777139149738,12.741536042532148,11.461642696843066,11.614653717014765,25,788,118
FL,50,95,HCP++,1,,1,-inf,inf,11.984808576881369,11.394625009882333,25,788,118
FL,50,95,HCP.sample,1,1.582553732487053,0,10.844025227382259,12.426578959869312,11.984808576881369,11.394625009882333,25,788,118
FL,50,95,HCP,1,2.2537646510347678,0,10.476893637078708,12.730658288113476,11.984808576881369,11.603775962596092,25,788,118
FL,50,95,Pooling,1,1.9912474819854324,0,10.608152221603376,12.599399703588809,11.984808576881369,11.603775962596092,25,788,118
FL,50,95,Subsampling,1,1.9912474819854324,0,10.608152221603376,12.599399703588809,11.984808576881369,11.603775962596092,25,788,118
FL,50,95,Repeated,1,2.290091006530517,0,10.458730459330834,12.74882146586135,11.984808576881369,11.603775962596092,25,788,118
FL,75,81,HCP++,1,,1,-inf,inf,11.51293546492023,11.165485197550439,25,788,118
FL,75,81,HCP.sample,1,1.4450297204748637,0,10.718640860083292,12.163670580558156,11.51293546492023,11.165485197550439,25,788,118
FL,75,81,HCP,1,2.2537646510347678,0,10.457370839446135,12.711135490480903,11.51293546492023,11.584253164963519,25,788,118
FL,75,81,Pooling,1,1.9912474819854324,0,10.588629423970803,12.579876905956235,11.51293546492023,11.584253164963519,25,788,118
FL,75,81,Subsampling,1,2.4916480210187366,0,10.33842915445415,12.830077175472887,11.51293546492023,11.584253164963519,25,788,118
FL,75,81,Repeated,1,2.2537646510347678,0,10.457370839446135,12.711135490480903,11.51293546492023,11.584253164963519,25,788,118
GA,0,6,HCP++,1,2.9540052415505187,0,9.571729012370565,12.525734253921083,11.002116507732017,11.048731633145824,25,788,40
GA,0,6,HCP.sample,1,1.1815837995269085,0,9.842621768037759,11.024205567564668,11.002116507732017,11.048731633145824,25,788,40
GA,0,6,HCP,1,2.2537646510347678,0,10.198375918786024,12.452140569820791,11.002116507732017,11.325258244303408,25,788,40
GA,0,6,Pooling,1,1.9912474819854324,0,10.329634503310691,12.320881985296124,11.002116507732017,11.325258244303408,25,788,40
GA,0,6,Subsampling,1,2.290091006530517,0,10.180212741038149,12.470303747568666,11.002116507732017,11.325258244303408,25,788,40
GA,0,6,Repeated,1,2.2537646510347678,0,10.198375918786024,12.452140569820791,11.002116507732017,11.325258244303408,25,788,40
GA,25,37,HCP++,1,2.597578783165801,0,9.776365284589556,12.373944067755357,12.19602736016897,11.075154676172456,25,788,40
GA,25,37,HCP.sample,0,1.341497381691596,0,10.517958606658295,11.859455988349891,12.19602736016897,11.075154676172456,25,788,40
GA,25,37,HCP,1,2.2537646510347678,0,10.42090293590324,12.674667586938007,12.19602736016897,11.547785261420623,25,788,40
GA,25,37,Pooling,1,1.9912474819854324,0,10.552161520427907,12.54340900241334,12.19602736016897,11.547785261420623,25,788,40
GA,25,37,Subsampling,1,2.249439739269146,0,10.42306539178605,12.672505131055196,12.19602736016897,11.547785261420623,25,788,40
GA,25,37,Repeated,1,2.2537646510347678,0,10.42090293590324,12.674667586938007,12.19602736016897,11.547785261420623,25,788,40
GA,50,36,HCP++,1,,1,-inf,inf,11.87757552297847,11.102137119326631,25,788,40
GA,50,36,HCP.sample,1,1.2519796602967048,0,10.679433873319292,11.931413533615997,11.87757552297847,11.102137119326631,25,788,40
