experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
16,50,0.78,0.75,0.82,0.83,2.1837780961411837,1.413397787457129,1.470918320984945,1.883390043065709,0,0,0,0
17,0,0.89,0.89,,0.89,1.9140393516003322,1.9140393516003322,,1.9140393516003322,0,0,0,0
17,10,0.87,0.84,0.79,0.87,1.8160148749271907,1.7284340313369908,5.767007657830307,1.9140393516003322,0,0,0,0
17,20,0.83,0.79,0.81,0.86,1.7583964558377878,1.616247913008836,2.032215774420541,1.9140393516003322,0,0,0,0
17,30,0.82,0.81,0.8,0.89,2.2694026453848144,1.4316740463448652,1.6396047077994924,1.9140393516003322,0,0,0,0
17,40,0.74,0.78,0.76,0.87,2.2582936297616403,1.4565725451015918,1.5992940672721083,1.9140393516003322,0,0,0,0
17,50,0.83,0.81,0.79,0.92,2.171161735477283,1.478442814839349,1.500604564683874,1.9140393516003322,0,0,0,0
18,0,0.89,0.89,,0.89,1.709804184999436,1.709804184999436,,1.709804184999436,0,0,0,0
18,10,0.79,0.84,0.88,0.85,1.6819503050239804,1.6031921042195179,4.536009405096679,1.709804184999436,0,0,0,0
18,20,0.8,0.81,0.87,0.87,1.7653085220137301,1.5136486553136832,1.94289409115212,1.709804184999436,0,0,0,0
18,30,0.85,0.89,0.79,0.9,2.446719955987292,1.5685975641228203,1.761662683238558,1.709804184999436,0,0,0,0
18,40,0.77,0.72,0.84,0.82,2.3435126642392063,1.5279892276316915,1.6588260959562868,1.709804184999436,0,0,0,0
18,50,0.86,0.76,0.79,0.87,2.222963190023224,1.4062136157685272,1.4228482589038385,1.709804184999436,0,0,0,0
19,0,0.94,0.94,,0.94,1.9796738598626993,1.9796738598626993,,1.9796738598626993,0,0,0,0
19,10,0.83,0.78,0.84,0.88,1.8472264027516385,1.6095811692896211,4.8431761344896085,1.9796738598626993,0,0,0,0
19,20,0.77,0.82,0.86,0.95,1.6106267619904264,1.4260378132326066,1.9001080353308388,1.9796738598626993,0,0,0,0
19,30,0.83,0.8,0.81,0.82,2.3409566696957977,1.5341812985688987,1.7523055805711127,1.9796738598626993,0,0,0,0
19,40,0.8,0.8,0.78,0.91,2.3000825431371474,1.516135189772718,1.6619767623449975,1.9796738598626993,0,0,0,0
19,50,0.77,0.73,0.72,0.83,2.1726946482393816,1.496769293763174,1.510833311485491,1.9796738598626993,0,0,0,0
20,0,0.81,0.81,,0.81,1.7703426051390139,1.7703426051390139,,1.7703426051390139,0,0,0,0
20,10,0.79,0.74,0.81,0.78,1.6988227904142261,1.6704636959716512,5.025089859052631,1.7703426051390139,0,0,0,0
20,20,0.74,0.71,0.79,0.81,1.6274540035060747,1.5490395575243197,2.163734406883362,1.7703426051390139,0,0,0,0
20,30,0.87,0.83,0.81,0.85,2.2686976092142137,1.292565309986996,1.483027343099188,1.7703426051390139,0,0,0,0
20,40,0.86,0.85,0.81,0.88,2.1967739947534892,1.438667430194949,1.5048570281891642,1.7703426051390139,0,0,0,0
20,50,0.87,0.87,0.86,0.88,2.1942041291263354,1.4066199682867806,1.4923825546834926,1.7703426051390139,0,0,0,0
21,0,0.85,0.85,,0.85,1.8871327177038004,1.8871327177038004,,1.8871327177038004,0,0,0,0
21,10,0.81,0.81,0.8,0.84,1.834819138840385,1.7621275717189246,5.146106855237386,1.8871327177038004,0,0,0,0
21,20,0.79,0.78,0.83,0.85,1.6157522597447471,1.5590218622511527,1.9571241424193695,1.8871327177038004,0,0,0,0
21,30,0.84,0.82,0.76,0.83,2.372653676640364,1.436605992786511,1.703887506888087,1.8871327177038004,0,0,0,0
