dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,HCP,5,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,5,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,5,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,5,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,10,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,10,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,10,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
poissonNmean21,HCP,10,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,10,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,10,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,10,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,10,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,15,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,15,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,15,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
poissonNmean21,HCP,15,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,15,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,15,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,15,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,15,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,15,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,20,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,20,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,20,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
poissonNmean21,HCP,20,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,20,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,20,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,20,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,20,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,20,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,25,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,25,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,25,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
poissonNmean21,HCP,25,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,25,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,25,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,25,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,25,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,25,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,30,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,30,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,30,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
poissonNmean21,HCP,30,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,30,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,30,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,30,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,30,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.25,0.75,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.225,0.775,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.175,0.825,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.125,0.875,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,5,0.25,0.75,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.225,0.775,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.2,0.8,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.175,0.825,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.15,0.85,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.125,0.875,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.1,0.9,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,5,0.075,0.925,0.747,0.013747399754135324,0.43494847991478275,1000.0
