tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.1,30,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,30,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,30,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,30,S-HCP-within,0.9362,0.24442076078283606,7.194756924453004,6.933647097814388,2.298124008284438,0.0,0,12345
0.0,0.1,30,Std-CP,0.9376,0.24190482340936825,6.401095118364073,6.069339891208178,2.1417402661347893,0.0,0,12345
0.0,0.1,30,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,35,Donor-HCP-no-within,0.915,0.27890958770114427,6.455102375014167,6.163341996993269,1.9336800103749958,0.0,0,12345
0.0,0.1,35,Donor-HCP-within,0.9482,0.22164517887168983,6.360711555666482,6.128212307236672,1.9710246704520684,0.0,0,12345
0.0,0.1,35,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,35,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,35,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,35,S-HCP-within,0.948,0.22204923141554558,7.39694069469253,7.101446887001455,2.274223260274756,0.0,0,12345
0.0,0.1,35,Std-CP,0.9468,0.22445452984333675,6.449227275781663,6.17524003221221,2.023972662864797,0.0,0,12345
0.0,0.1,35,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
5.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673,0.0,0,12345
5.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673,0.0,0,12345
5.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,S-HCP-within,0.9604,0.19503704235241584,31.517651635738567,29.07637794927399,10.576900645285416,0.0,0,12345
5.0,0.05,5,Std-CP,0.7628,0.425408456040655,6.189973106257634,5.049533437709755,4.743653900368571,0.0,0,12345
5.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Donor-HCP-no-within,0.993,0.08338099590491602,37.5711398985563,34.50147789331912,12.084259416929756,0.0,0,12345
5.0,0.05,10,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673,0.0,0,12345
5.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,S-HCP-within,0.9602,0.19550857966069962,31.315419226539042,28.876579253848973,10.487928809471935,0.0,0,12345
5.0,0.05,10,Std-CP,0.8402,0.3664571164046793,111.8001930453512,11.944977207143701,2377.059567191306,0.0,0,12345
5.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Donor-HCP-no-within,0.9684,0.17495016865468407,33.5104972040704,30.59391893845561,11.85545167287886,0.0,0,12345
5.0,0.05,15,Donor-HCP-within,0.9824,0.1315055084007815,24.007060348126608,22.696348087205756,7.278758726765815,0.0,0,12345
5.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673,0.0,0,12345
5.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,S-HCP-within,0.9652,0.18329124129599655,31.511811938043376,28.939784543564958,10.498701330478022,0.0,0,12345
5.0,0.05,15,Std-CP,0.8894,0.3136675269508985,9.119620108037571,7.559900560455587,6.704782301955845,0.0,0,12345
5.0,0.05,15,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Donor-HCP-no-within,0.9444,0.22917055619945112,31.755349118215598,28.716094837750433,11.836588624153949,0.0,0,12345
5.0,0.05,20,Donor-HCP-within,0.9494,0.21920139107672176,17.444719655265946,16.22169646136407,5.724462272888144,0.0,0,12345
5.0,0.05,20,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673,0.0,0,12345
5.0,0.05,20,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,S-HCP-within,0.957,0.2028773813079449,30.843494218960554,28.47538059803957,10.39255040188334,0.0,0,12345
5.0,0.05,20,Std-CP,0.9126,0.28244857131712936,6.90480414043388,6.368615435063189,2.91925568315258,0.0,0,12345
5.0,0.05,20,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Donor-HCP-no-within,0.9624,0.19024583752539556,16.345218589949468,14.909004931916158,7.847205521269518,0.0,0,12345
5.0,0.05,25,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673,0.0,0,12345
5.0,0.05,25,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Std-CP,0.9344,0.24760634438631846,6.771804872210265,6.375209022983807,2.499004551487359,0.0,0,12345
5.0,0.05,25,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Donor-HCP-no-within,0.9672,0.17813058721404387,16.59283057936017,15.146523024137615,7.8454114661362455,0.0,0,12345
5.0,0.05,30,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
