experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
42,0,0.85,0.85,,0.85,1.8147163267767092,1.8147163267767092,,1.8147163267767092,0,0,0,0
42,10,0.9,0.86,0.81,0.89,1.7712440626854482,1.6104933121770428,5.041030377913,1.8147163267767092,0,0,0,0
42,20,0.82,0.87,0.8,0.96,1.6319301170220122,1.485337557212213,1.7756472069916984,1.8147163267767095,0,0,0,0
43,0,0.87,0.87,,0.87,1.72387615116973,1.72387615116973,,1.72387615116973,0,0,0,0
43,10,0.85,0.83,0.84,0.86,1.779195048082661,1.515389184052025,5.926900293253673,1.72387615116973,0,0,0,0
43,20,0.82,0.75,0.82,0.85,1.6446011577070796,1.3874267299776097,2.1687543618532352,1.72387615116973,0,0,0,0
44,0,0.8,0.8,,0.8,1.479391367456355,1.479391367456355,,1.479391367456355,0,0,0,0
44,10,0.82,0.77,0.82,0.77,1.572288881568677,1.398960728329458,5.030590216876643,1.479391367456355,0,0,0,0
44,20,0.84,0.77,0.81,0.84,1.5784423506964878,1.2671514863708924,1.971980270943438,1.479391367456355,0,0,0,0
45,0,0.95,0.95,,0.95,1.9314257756534368,1.9314257756534368,,1.9314257756534368,0,0,0,0
45,10,0.87,0.88,0.85,0.89,1.9601613138343912,1.7181485912202685,4.0465184087005,1.9314257756534368,0,0,0,0
45,20,0.72,0.83,0.83,0.91,1.8230443019926301,1.5151022730531118,1.9873620708807596,1.9314257756534368,0,0,0,0
46,0,0.94,0.94,,0.94,1.8441158682854166,1.8441158682854166,,1.8441158682854166,0,0,0,0
46,10,0.85,0.89,0.83,0.92,1.6712419345391587,1.6682082138707162,5.065158727624384,1.8441158682854166,0,0,0,0
46,20,0.83,0.89,0.83,0.92,1.7105007972461101,1.5374507859408992,2.030583872727715,1.8441158682854166,0,0,0,0
47,0,0.89,0.89,,0.89,2.13674833234416,2.13674833234416,,2.13674833234416,0,0,0,0
47,10,0.87,0.86,0.86,0.87,2.1046274666434646,1.926689237856276,5.859235402507846,2.13674833234416,0,0,0,0
47,20,0.85,0.86,0.82,0.94,1.9174483003264404,1.788058833692438,1.9684885155978924,2.13674833234416,0,0,0,0
48,0,0.9,0.9,,0.9,1.920967191794137,1.920967191794137,,1.920967191794137,0,0,0,0
48,10,0.84,0.84,0.83,0.86,1.7485987382860397,1.674961517325304,4.842669933915591,1.920967191794137,0,0,0,0
48,20,0.82,0.83,0.82,0.89,1.6894409702994446,1.502656423889421,1.9197660243645311,1.920967191794137,0,0,0,0
49,0,0.83,0.83,,0.83,1.5943494915474088,1.5943494915474088,,1.5943494915474088,0,0,0,0
49,10,0.83,0.79,0.81,0.89,1.5159242702900562,1.3000295433996558,4.866155127742987,1.5943494915474088,0,0,0,0
49,20,0.76,0.67,0.81,0.81,1.6312849853035885,1.2182594332276777,1.9404833411014326,1.5943494915474088,0,0,0,0
50,0,0.8,0.8,,0.8,1.6323605078186096,1.6323605078186096,,1.6323605078186096,0,0,0,0
50,10,0.89,0.86,0.86,0.88,1.8031751209693123,1.5193194797926286,4.7747060424535155,1.6323605078186096,0,0,0,0
50,20,0.77,0.69,0.83,0.81,1.7856850010783973,1.3682334100705922,1.9102730646060073,1.6323605078186096,0,0,0,0
