replicate,o,tau,alpha,width,q_method,q,q_lower,q_upper,knot_value,mass_knot_test_frac,mass_knot_cal_frac,q_upper_is_test_value,q_upper_is_cal_only,q_upper_shared_cal_test,q_equals_max_test_finite,q_cal_only,q_over_q_cal_only,q_no_test_finite,q_changes_without_test_finite,max_test_finite,p90_cal_scores,median_cal_scores,mass_weight_test,mass_weight_cal,mass_weight_inf,mass_below_q_test,mass_below_q_cal,n_cal_scores,n_test_finite,n_test_inf
3,20,10,0.1,5.662778687797342,2.831389343898671,2.831389343898671,2.831389343898671,2.831389343898671,2.831389343898671,1.0,0.0,True,False,False,False,3.665798298267987,0.7723800148078096,3.665798298267987,True,2.9681288102317467,2.7002784306486847,0.7979770111374336,0.08264462809917356,0.909090909090909,0.008264462809917356,0.06611570247933884,0.8347107438016528,110,10,1
3,25,12,0.1,6.366435595736661,3.1832177978683305,3.1832177978683305,3.1832177978683305,3.1832177978683305,3.1832177978683305,1.0,0.0,True,False,False,True,inf,,inf,False,3.1832177978683305,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
3,30,15,0.1,6.8130167902119325,3.4065083951059663,3.4065083951059663,3.4065083951059663,3.4065083951059663,3.4065083951059663,1.0,0.0,True,False,False,True,inf,,inf,False,3.4065083951059663,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
3,35,17,0.1,6.902900575604782,3.451450287802391,3.451450287802391,3.451450287802391,3.451450287802391,3.451450287802391,1.0,0.0,True,False,False,True,inf,,inf,False,3.451450287802391,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
4,0,0,0.1,11.258753069127941,5.629376534563971,5.629376534563971,5.629376534563971,5.629376534563971,5.629376534563971,0.0,1.0,False,True,False,False,5.629376534563971,1.0,5.629376534563971,False,,4.065759974328033,1.418626142134283,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
4,5,2,0.1,8.356049548583222,4.178024774291611,4.178024774291611,4.178024774291611,4.178024774291611,4.178024774291611,0.0,1.0,False,True,False,False,4.533732373940506,0.9215419944738091,4.533732373940506,True,1.1980595154183575,2.8734561634383433,1.0755212677518569,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
4,10,5,0.1,6.227082717388868,3.113541358694434,3.113541358694434,3.113541358694434,3.113541358694434,3.113541358694434,0.0,1.0,False,True,False,False,3.7098911942753006,0.839254090119654,3.7098911942753006,True,3.225902752940627,2.2999059479728308,0.9929903749316074,0.028409090909090905,0.9090909090909092,0.0625,0.022727272727272724,0.8806818181818182,160,5,11
4,15,7,0.1,4.847024677839691,2.4235123389198456,2.4235123389198456,2.4235123389198456,2.4235123389198456,2.4235123389198456,0.0,1.0,False,True,False,False,3.442722229543616,0.7039523311298682,3.442722229543616,True,3.512058156832982,2.1139899230234254,1.0140110308948092,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.04545454545454546,0.8571428571428573,140,8,6
4,20,10,0.1,3.681458646841847,1.8407293234209225,1.8407293234209225,1.8407293234209225,1.8407293234209225,1.8407293234209225,0.0,1.0,False,True,False,False,3.2658747184055024,0.5636252098242218,3.2658747184055024,True,1.552617817758037,1.8432679441998632,0.9124952626156801,0.08264462809917356,0.909090909090909,0.008264462809917356,0.08264462809917356,0.8181818181818181,110,10,1
4,25,12,0.1,6.673631346442768,3.336815673221384,3.336815673221384,3.336815673221384,3.336815673221384,3.336815673221384,1.0,0.0,True,False,False,True,inf,,inf,False,3.336815673221384,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
4,30,15,0.1,8.049905848042009,4.0249529240210045,4.0249529240210045,4.0249529240210045,4.0249529240210045,4.0249529240210045,1.0,0.0,True,False,False,True,inf,,inf,False,4.0249529240210045,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
4,35,17,0.1,7.819408059619704,3.909704029809852,3.909704029809852,3.909704029809852,3.909704029809852,3.909704029809852,1.0,0.0,True,False,False,True,inf,,inf,False,3.909704029809852,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
5,0,0,0.1,10.576567263876907,5.288283631938453,5.288283631938453,5.288283631938453,5.288283631938453,5.288283631938453,0.0,1.0,False,True,False,False,5.288283631938453,1.0,5.288283631938453,False,,3.214450059842053,1.5970040933678784,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
5,5,2,0.1,9.7170273617146,4.8585136808573,4.8585136808573,4.8585136808573,4.8585136808573,4.8585136808573,0.0,1.0,False,True,False,False,5.228672628327285,0.9292059431174593,5.228672628327285,True,2.433881471700955,2.8732304364846972,1.2864240374665727,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
5,10,5,0.1,7.035015112236195,3.5175075561180975,3.5175075561180975,3.5175075561180975,3.5175075561180975,3.5175075561180975,0.0,1.0,False,True,False,False,4.271781115194003,0.8234287903017592,4.271781115194003,True,0.8089015909178912,2.641891462214975,1.1379852827062005,0.028409090909090905,0.9090909090909092,0.0625,0.028409090909090905,0.875,160,5,11
5,15,7,0.1,5.618501999417052,2.809250999708526,2.809250999708526,2.809250999708526,2.809250999708526,2.809250999708526,0.0,1.0,False,True,False,False,4.003212091099986,0.7017492293136565,4.003212091099986,True,2.179602067643204,2.726407252780307,1.0170623365624007,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.05194805194805195,0.8506493506493509,140,8,6
5,20,10,0.1,4.701707635116058,2.350853817558029,2.350853817558029,2.350853817558029,2.350853817558029,2.350853817558029,0.0,1.0,False,True,False,False,3.63168440428183,0.6473177610880296,3.63168440428183,True,2.062949078998284,2.3561542493714502,1.0057204128928063,0.08264462809917356,0.909090909090909,0.008264462809917356,0.08264462809917356,0.8181818181818181,110,10,1
